Number of total reads: 		250000
0.0032	8	Sulfitobacter sp. NAS-14.1
0.0032	8	Catenibacterium mitsuokai DSM 15897
0.0032	8	Shigella flexneri 2a str. 301
0.0032	8	Anaeromyxobacter sp. Fw109-5
0.0032	8	Streptobacillus moniliformis DSM 12112
0.0032	8	Desulfovibrio salexigens DSM 2638
0.0032	8	Propionibacterium acnes KPA171202
0.0032	8	Kribbella flavida DSM 17836
0.0032	8	Xylella fastidiosa Temecula1
0.0032	8	Scardovia inopinata F0304
0.0032	8	Atopobium rimae ATCC 49626
0.0032	8	Escherichia coli F11
0.0032	8	Clostridium botulinum D str. 1873
0.0032	8	Gallionella capsiferriformans ES-2
0.0032	8	Chlorobium phaeobacteroides DSM 266
0.0032	8	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130
0.0032	8	Babesia bovis T2Bo
0.0032	8	Syntrophomonas wolfei subsp. wolfei str. Goettingen
0.0032	8	Erythrobacter litoralis HTCC2594
0.0032	8	Vibrio cholerae RC9
0.0032	8	Shigella flexneri 5 str. 8401
0.0032	8	Cardiobacterium hominis ATCC 15826
0.0032	8	Clavibacter michiganensis subsp. michiganensis NCPPB 382
0.0032	8	Rhodothermus marinus DSM 4252
0.0032	8	Psychrobacter sp. PRwf-1
0.0032	8	Aromatoleum aromaticum EbN1
0.0032	8	Selenomonas sp. oral taxon 137 str. F0430
0.0032	8	Escherichia coli TA143
0.0032	8	Alkalilimnicola ehrlichii MLHE-1
0.0032	8	Chaetomium globosum CBS 148.51
0.0032	8	Chlamydomonas reinhardtii
0.0032	8	Anoxybacillus flavithermus WK1
0.0032	8	Porphyromonas uenonis 60-3
0.0032	8	Dethiobacter alkaliphilus AHT 1
0.0032	8	Bifidobacterium bifidum S17
0.0032	8	Escherichia coli KO11
0.0032	8	Bacillus thuringiensis BMB171
0.0028	7	Bifidobacterium longum subsp. infantis CCUG 52486
0.0028	7	Synechococcus sp. CC9311
0.0028	7	Streptococcus pyogenes str. Manfredo
0.0028	7	Acholeplasma laidlawii PG-8A
0.0028	7	Cellulomonas flavigena DSM 20109
0.0028	7	Streptococcus agalactiae NEM316
0.0028	7	Bifidobacterium adolescentis L2-32
0.0028	7	Bacteroides coprophilus DSM 18228
0.0028	7	Anaeromyxobacter dehalogenans 2CP-C
0.0028	7	Methylobacillus flagellatus KT
0.0028	7	Streptococcus gallolyticus UCN34
0.0028	7	Haemophilus parasuis SH0165
0.0028	7	Parvimonas micra ATCC 33270
0.0028	7	Arabidopsis thaliana
0.0028	7	Xanthobacter autotrophicus Py2
0.0028	7	Capnocytophaga gingivalis ATCC 33624
0.0028	7	Escherichia coli B7A
0.0028	7	Clavispora lusitaniae ATCC 42720
0.0028	7	Methanocella paludicola SANAE
0.0028	7	Herbaspirillum seropedicae SmR1
0.0028	7	Lactobacillus ultunensis DSM 16047
0.0028	7	Paenibacillus larvae subsp. larvae BRL-230010
0.0028	7	Streptococcus pneumoniae SP6-BS73
0.0028	7	Burkholderia pseudomallei 9
0.0028	7	Streptococcus pyogenes MGAS10394
0.0028	7	Rhizobium leguminosarum bv. viciae 3841
0.0028	7	Escherichia coli
0.0028	7	Lactobacillus rhamnosus GG
0.0028	7	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91
0.0028	7	Ochrobactrum anthropi ATCC 49188
0.0028	7	Shigella sonnei Ss046
0.0028	7	Lactococcus lactis subsp. cremoris SK11
0.0028	7	Parvibaculum lavamentivorans DS-1
0.0028	7	Ilyobacter polytropus DSM 2926
0.0028	7	Veillonella parvula ATCC 17745
0.0028	7	Jonquetella anthropi E3_33 E1
0.0028	7	Enterococcus faecalis PC1.1
0.0024	6	Escherichia coli 55989
0.0024	6	Bacillus cereus E33L
0.0024	6	Mycobacterium leprae TN
0.0024	6	Enterococcus casseliflavus EC10
0.0024	6	Bacteroides sp. D22
0.0024	6	Paenibacillus sp. oral taxon 786 str. D14
0.0024	6	Clostridium botulinum A2 str. Kyoto
0.0024	6	Pelobacter propionicus DSM 2379
0.0024	6	Fusobacterium mortiferum ATCC 9817
0.0024	6	Streptococcus pneumoniae SP3-BS71
0.0024	6	Peptoniphilus harei ACS-146-V-Sch2b
0.0024	6	Fusobacterium sp. D12
0.0024	6	Flavobacteria bacterium BAL38
0.0024	6	Streptococcus suis 98HAH33
0.0024	6	Flavobacteria bacterium MS024-2A
0.0024	6	Jonesia denitrificans DSM 20603
0.0024	6	Streptococcus dysgalactiae subsp. equisimilis GGS_124
0.0024	6	Sphingobacterium spiritivorum ATCC 33861
0.0024	6	Epulopiscium sp. 'N.t. morphotype B'
0.0024	6	Leadbetterella byssophila DSM 17132
0.0024	6	Bifidobacterium pseudocatenulatum DSM 20438
0.0024	6	Burkholderia oklahomensis EO147
0.0024	6	Ralstonia solanacearum PSI07
0.0024	6	Phenylobacterium zucineum HLK1
0.0024	6	Aspergillus nidulans FGSC A4
0.0024	6	Anaerofustis stercorihominis DSM 17244
0.0024	6	Streptococcus mitis B6
0.0024	6	Bacillus cereus AH187
0.0024	6	Campylobacter fetus subsp. fetus 82-40
0.0024	6	Escherichia coli MS 116-1
0.0024	6	Klebsiella sp. 1_1_55
0.0024	6	Streptococcus equi subsp. zooepidemicus MGCS10565
0.0024	6	Staphylococcus aureus subsp. aureus USA300_TCH1516
0.0024	6	Neisseria sp. oral taxon 014 str. F0314
0.0024	6	Rhodospirillum centenum SW
0.0024	6	Desulfococcus oleovorans Hxd3
0.0024	6	Deinococcus deserti VCD115
0.0024	6	Salinibacter ruber DSM 13855
0.0024	6	Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- str. RSK2980
0.0024	6	Escherichia coli FVEC1412
0.0024	6	Pseudomonas aeruginosa PA7
0.002	5	Rothia mucilaginosa DY-18
0.002	5	Enterococcus faecalis TX0411
0.002	5	Magnetococcus sp. MC-1
0.002	5	Flavobacteriaceae bacterium 3519-10
0.002	5	Achromobacter xylosoxidans A8
0.002	5	Escherichia coli MS 78-1
0.002	5	Cyanothece sp. CCY0110
0.002	5	Herminiimonas arsenicoxydans
0.002	5	Escherichia coli MS 182-1
0.002	5	Chlorobium chlorochromatii CaD3
0.002	5	Peptoniphilus duerdenii ATCC BAA-1640
0.002	5	Leuconostoc citreum KM20
0.002	5	Thermobaculum terrenum ATCC BAA-798
0.002	5	Geobacillus kaustophilus HTA426
0.002	5	Shigella boydii CDC 3083-94
0.002	5	Acetohalobium arabaticum DSM 5501
0.002	5	Nakamurella multipartita DSM 44233
0.002	5	Actinomyces urogenitalis DSM 15434
0.002	5	Halanaerobium sp. 'sapolanicus'
0.002	5	Desulfomicrobium baculatum DSM 4028
0.002	5	Microscilla marina ATCC 23134
0.002	5	Listeria seeligeri serovar 1/2b str. SLCC3954
0.002	5	Photobacterium profundum SS9
0.002	5	Rhodopseudomonas palustris HaA2
0.002	5	Psychromonas ingrahamii 37
0.002	5	Burkholderia thailandensis Bt4
0.002	5	Taeniopygia guttata
0.002	5	Enterococcus faecium 1,230,933
0.002	5	Escherichia fergusonii ATCC 35469
0.002	5	Fusobacterium sp. 7_1
0.002	5	Carboxydibrachium pacificum DSM 12653
0.002	5	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)
0.002	5	Bacillus cereus AH820
0.002	5	Methylotenera mobilis JLW8
0.002	5	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111
0.002	5	Enterococcus faecalis V583
0.002	5	Parabacteroides johnsonii DSM 18315
0.002	5	Escherichia coli 'BL21-Gold(DE3)pLysS AG'
0.002	5	Listeria monocytogenes HCC23
0.002	5	Psychromonas sp. CNPT3
0.002	5	Clostridium botulinum Bf
0.002	5	Rubrobacter xylanophilus DSM 9941
0.002	5	Actinobacillus pleuropneumoniae serovar 13 str. N273
0.002	5	Methanobrevibacter smithii ATCC 35061
0.002	5	Verminephrobacter eiseniae EF01-2
0.002	5	Escherichia coli 536
0.002	5	Corynebacterium urealyticum DSM 7109
0.002	5	Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191
0.002	5	Ralstonia pickettii 12J
0.002	5	Salmonella enterica subsp. enterica serovar Typhi str. AG3
0.002	5	Desulfovibrio vulgaris str. Hildenborough
0.0016	4	Burkholderia cenocepacia PC184
0.0016	4	Arcobacter nitrofigilis DSM 7299
0.0016	4	Pyrobaculum calidifontis JCM 11548
0.0016	4	Delftia acidovorans SPH-1
0.0016	4	Shigella flexneri 2a str. 2457T
0.0016	4	Brucella abortus bv. 9 str. C68
0.0016	4	Fusobacterium periodonticum ATCC 33693
0.0016	4	Veillonella atypica ACS-049-V-Sch6
0.0016	4	Escherichia coli 53638
0.0016	4	Dickeya dadantii Ech586
0.0016	4	Escherichia albertii TW07627
0.0016	4	Sphingomonas sp. SKA58
0.0016	4	Desulfovibrio vulgaris str. 'Miyazaki F'
0.0016	4	Arthrobacter arilaitensis Re117
0.0016	4	Halomicrobium mukohataei DSM 12286
0.0016	4	Beijerinckia indica subsp. indica ATCC 9039
0.0016	4	Wolbachia endosymbiont of Drosophila melanogaster
0.0016	4	Sulfurimonas denitrificans DSM 1251
0.0016	4	Bacillus amyloliquefaciens FZB42
0.0016	4	Peptoniphilus sp. oral taxon 386 str. F0131
0.0016	4	Cryptococcus neoformans var. neoformans B-3501A
0.0016	4	Bacteroides sp. D1
0.0016	4	Citrobacter rodentium ICC168
0.0016	4	Mycobacterium vanbaalenii PYR-1
0.0016	4	Anaerococcus vaginalis ATCC 51170
0.0016	4	Xanthomonas campestris pv. vesicatoria str. 85-10
0.0016	4	Rhodobacter sphaeroides ATCC 17025
0.0016	4	Enterococcus faecalis TX0109
0.0016	4	Clostridium phage phiC2
0.0016	4	Lactobacillus plantarum subsp. plantarum ST-III
0.0016	4	Microcystis aeruginosa NIES-843
0.0016	4	Reinekea blandensis MED297
0.0016	4	Campylobacter curvus 525.92
0.0016	4	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
0.0016	4	Hahella chejuensis KCTC 2396
0.0016	4	Xanthomonas campestris pv. campestris str. 8004
0.0016	4	Neisseria meningitidis ATCC 13091
0.0016	4	Proteus mirabilis HI4320
0.0016	4	Coprothermobacter proteolyticus DSM 5265
0.0016	4	Gibberella zeae PH-1
0.0016	4	Acyrthosiphon pisum
0.0016	4	Dictyoglomus turgidum DSM 6724
0.0016	4	Streptococcus mutans NN2025
0.0016	4	Azospirillum sp. B510
0.0016	4	Maricaulis maris MCS10
0.0016	4	Methylovorus sp. SIP3-4
0.0016	4	Flavobacteria bacterium BBFL7
0.0016	4	Cronobacter sakazakii ATCC BAA-894
0.0016	4	Sphingomonas wittichii RW1
0.0016	4	Citrobacter koseri ATCC BAA-895
0.0016	4	Rhodococcus jostii RHA1
0.0016	4	Thermoanaerobacter pseudethanolicus ATCC 33223
0.0016	4	Calditerrivibrio nitroreducens DSM 19672
0.0016	4	Francisella tularensis subsp. holarctica FSC200
0.0016	4	Synechococcus sp. CC9902
0.0016	4	Lactobacillus johnsonii NCC 533
0.0016	4	Neisseria gonorrhoeae SK-93-1035
0.0016	4	Agrobacterium tumefaciens str. C58
0.0016	4	Leptotrichia goodfellowii F0264
0.0016	4	Burkholderia phymatum STM815
0.0016	4	Providencia stuartii ATCC 25827
0.0016	4	Helicobacter bilis ATCC 43879
0.0016	4	Cupriavidus taiwanensis
0.0012	3	Pelodictyon phaeoclathratiforme BU-1
0.0012	3	Campylobacter jejuni subsp. doylei 269.97
0.0012	3	Erysipelothrix rhusiopathiae ATCC 19414
0.0012	3	Escherichia coli 1827-70
0.0012	3	Hydrogenobaculum sp. Y04AAS1
0.0012	3	Listeria monocytogenes serotype 4b str. CLIP 80459
0.0012	3	Thioalkalivibrio sp. K90mix
0.0012	3	Pseudomonas putida KT2440
0.0012	3	Mannheimia succiniciproducens MBEL55E
0.0012	3	Alicycliphilus denitrificans BC
0.0012	3	Rhodospirillum rubrum ATCC 11170
0.0012	3	Prochlorococcus marinus str. AS9601
0.0012	3	Thermus thermophilus HB8
0.0012	3	Magnetospirillum magneticum AMB-1
0.0012	3	Fusobacterium nucleatum subsp. vincentii ATCC 49256
0.0012	3	Opitutus terrae PB90-1
0.0012	3	Helicobacter pylori 26695
0.0012	3	Mycobacterium gilvum PYR-GCK
0.0012	3	Shewanella loihica PV-4
0.0012	3	Chlorobaculum parvum NCIB 8327
0.0012	3	Candidatus Protochlamydia amoebophila UWE25
0.0012	3	Bacillus tusciae DSM 2912
0.0012	3	Dehalogenimonas lykanthroporepellens BL-DC-9
0.0012	3	Rothia dentocariosa ATCC 17931
0.0012	3	Streptococcus pneumoniae JJA
0.0012	3	Sorangium cellulosum 'So ce 56'
0.0012	3	Desulfovibrio sp. 3_1_syn3
0.0012	3	Spirochaeta smaragdinae DSM 11293
0.0012	3	Methylibium petroleiphilum PM1
0.0012	3	Veillonella sp. 3_1_44
0.0012	3	Oxalobacter formigenes HOxBLS
0.0012	3	Polynucleobacter necessarius subsp. necessarius STIR1
0.0012	3	Prevotella oris C735
0.0012	3	Escherichia coli IAI39
0.0012	3	Pseudomonas mendocina ymp
0.0012	3	Staphylococcus aureus A6300
0.0012	3	Methylacidiphilum infernorum V4
0.0012	3	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476
0.0012	3	Stackebrandtia nassauensis DSM 44728
0.0012	3	Polaromonas naphthalenivorans CJ2
0.0012	3	Aminobacterium colombiense DSM 12261
0.0012	3	Eremococcus coleocola ACS-139-V-Col8
0.0012	3	Borrelia garinii PBi
0.0012	3	Victivallis vadensis ATCC BAA-548
0.0012	3	Turicibacter sanguinis PC909
0.0012	3	Lactobacillus iners LactinV 01V1-a
0.0012	3	Moniliophthora perniciosa FA553
0.0012	3	Saccharopolyspora erythraea NRRL 2338
0.0012	3	Corynebacterium jeikeium K411
0.0012	3	Acidovorax sp. JS42
0.0012	3	Micromonospora aurantiaca ATCC 27029
0.0012	3	Acidiphilium cryptum JF-5
0.0012	3	Slackia exigua ATCC 700122
0.0012	3	Candidatus Koribacter versatilis Ellin345
0.0012	3	Bacteroides dorei DSM 17855
0.0012	3	Staphylococcus aureus subsp. aureus 132
0.0012	3	Streptococcus pneumoniae CDC0288-04
0.0012	3	Escherichia coli B088
0.0012	3	Methanobrevibacter ruminantium M1
0.0012	3	Methanococcoides burtonii DSM 6242
0.0012	3	Gemella haemolysans ATCC 10379
0.0012	3	Chryseobacterium gleum ATCC 35910
0.0012	3	Pseudomonas entomophila L48
0.0012	3	Megasphaera genomosp. type_1 str. 28L
0.0012	3	Streptococcus pneumoniae Hungary19A-6
0.0012	3	Monosiga brevicollis MX1
0.0012	3	Finegoldia magna ATCC 53516
0.0012	3	Pediococcus acidilactici 7_4
0.0012	3	Methanocorpusculum labreanum Z
0.0012	3	Blastopirellula marina DSM 3645
0.0012	3	Alteromonas macleodii 'Deep ecotype'
0.0008	2	Coraliomargarita akajimensis DSM 45221
0.0008	2	Bacillus sp. m3-13
0.0008	2	Tribolium castaneum
0.0008	2	Mycoplasma mobile 163K
0.0008	2	Magnetospirillum magnetotacticum MS-1
0.0008	2	Frankia sp. CcI3
0.0008	2	Idiomarina loihiensis L2TR
0.0008	2	Bacillus thuringiensis IBL 4222
0.0008	2	Rhodopseudomonas palustris BisA53
0.0008	2	Francisella philomiragia subsp. philomiragia ATCC 25017
0.0008	2	Listeria monocytogenes HPB2262
0.0008	2	Micrococcus luteus NCTC 2665
0.0008	2	Bacillus sp. SG-1
0.0008	2	Listeria monocytogenes FSL J1-208
0.0008	2	Yersinia aldovae ATCC 35236
0.0008	2	Acinetobacter lwoffii SH145
0.0008	2	Vibrio parahaemolyticus Peru-466
0.0008	2	Vibrio harveyi ATCC BAA-1116
0.0008	2	Aggregatibacter aphrophilus NJ8700
0.0008	2	Acidobacterium capsulatum ATCC 51196
0.0008	2	Escherichia coli O157:H7 str. EC869
0.0008	2	Shewanella pealeana ATCC 700345
0.0008	2	Methanocaldococcus jannaschii DSM 2661
0.0008	2	Legionella longbeachae D-4968
0.0008	2	Methanosarcina mazei Go1
0.0008	2	Streptococcus infantis SK1302
0.0008	2	Burkholderia phytofirmans PsJN
0.0008	2	Xenorhabdus nematophila ATCC 19061
0.0008	2	Actinomyces sp. oral taxon 848 str. F0332
0.0008	2	Erwinia billingiae Eb661
0.0008	2	Sinorhizobium fredii NGR234
0.0008	2	Agrobacterium tumefaciens
0.0008	2	Escherichia coli B354
0.0008	2	Salinibacter ruber M8
0.0008	2	Caldicellulosiruptor kronotskyensis 2002
0.0008	2	Dictyostelium discoideum AX4
0.0008	2	Geobacillus sp. C56-T3
0.0008	2	Pantoea sp. At-9b
0.0008	2	Fusobacterium sp. 3_1_36A2
0.0008	2	Erwinia tasmaniensis Et1/99
0.0008	2	Dehalococcoides ethenogenes 195
0.0008	2	Salmonella enterica subsp. enterica serovar Agona str. SL483
0.0008	2	Staphylococcus aureus subsp. aureus MW2
0.0008	2	Thermotoga neapolitana DSM 4359
0.0008	2	Neisseria elongata subsp. glycolytica ATCC 29315
0.0008	2	Coxiella burnetii Dugway 5J108-111
0.0008	2	Mycoplasma hominis ATCC 23114
0.0008	2	Pedobacter saltans DSM 12145
0.0008	2	Kangiella koreensis DSM 16069
0.0008	2	Streptococcus pneumoniae P1031
0.0008	2	Aminomonas paucivorans DSM 12260
0.0008	2	Pyramidobacter piscolens W5455
0.0008	2	Propionibacterium acnes SK187
0.0008	2	Bacillus cereus BDRD-ST24
0.0008	2	Pseudomonas stutzeri A1501
0.0008	2	Escherichia coli O26:H11 str. 11368
0.0008	2	Collinsella intestinalis DSM 13280
0.0008	2	Caulobacter crescentus CB15
0.0008	2	Neisseria meningitidis alpha14
0.0008	2	Listeria monocytogenes J2818
0.0008	2	Cyanothece sp. PCC 7424
0.0008	2	Cyanothece sp. PCC 7425
0.0008	2	Thermotoga sp. RQ2
0.0008	2	Equus caballus
0.0008	2	Streptococcus pneumoniae SP14-BS69
0.0008	2	Escherichia coli HS
0.0008	2	Toxoplasma gondii ME49
0.0008	2	Prevotella buccae D17
0.0008	2	Nitrosococcus oceani ATCC 19707
0.0008	2	Pedobacter sp. BAL39
0.0008	2	Synechococcus sp. JA-2-3B'a(2-13)
0.0008	2	Methanosarcina barkeri str. Fusaro
0.0008	2	Francisella novicida FTE
0.0008	2	Thiomonas intermedia K12
0.0008	2	Pseudomonas syringae pv. syringae 642
0.0008	2	Thermococcus sibiricus MM 739
0.0008	2	Gluconacetobacter hansenii ATCC 23769
0.0008	2	Saccharophagus degradans 2-40
0.0008	2	Porphyromonas asaccharolytica PR426713P-I
0.0008	2	Shewanella amazonensis SB2B
0.0008	2	Enterococcus faecalis TX0104
0.0008	2	Serratia proteamaculans 568
0.0008	2	Staphylococcus aureus subsp. aureus Mu50-omega
0.0008	2	Burkholderia multivorans ATCC 17616
0.0008	2	Corynebacterium diphtheriae NCTC 13129
0.0008	2	Streptococcus mitis SK321
0.0008	2	Mycobacterium sp. MCS
0.0008	2	Prevotella disiens FB035-09AN
0.0008	2	Mycobacterium marinum M
0.0008	2	Bacillus cereus AH676
0.0008	2	Mesoplasma florum L1
0.0008	2	Streptococcus sp. M143
0.0008	2	Finegoldia magna BVS033A4
0.0008	2	Escherichia coli SE11
0.0008	2	Caminibacter mediatlanticus TB-2
0.0008	2	uncultured methanogenic archaeon RC-I
0.0008	2	Bordetella parapertussis 12822
0.0008	2	Oxalobacter formigenes OXCC13
0.0008	2	Pseudomonas aeruginosa UCBPP-PA14
0.0008	2	Cyanothece sp. PCC 8801
0.0008	2	Corynebacterium aurimucosum ATCC 700975
0.0008	2	Dinoroseobacter shibae DFL 12
0.0008	2	Escherichia coli O157:H7 str. TW14588
0.0008	2	Actinomyces odontolyticus F0309
0.0008	2	Ashbya gossypii ATCC 10895
0.0008	2	Gracilaria tenuistipitata var. liui
0.0008	2	Methanococcus maripaludis C7
0.0008	2	Halomonas elongata DSM 2581
0.0008	2	Thermotogales bacterium mesG1.Ag.4.2
0.0008	2	Methanothermococcus okinawensis IH1
0.0008	2	Burkholderia glumae BGR1
0.0008	2	Dethiosulfovibrio peptidovorans DSM 11002
0.0008	2	Photobacterium profundum 3TCK
0.0008	2	Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601
0.0008	2	Citrobacter youngae ATCC 29220
0.0008	2	Shewanella baltica OS155
0.0008	2	Proteus mirabilis ATCC 29906
0.0008	2	Gloeobacter violaceus PCC 7421
0.0008	2	Rhizobium etli CFN 42
0.0008	2	Enterococcus faecalis TX2134
0.0008	2	Simonsiella muelleri ATCC 29453
0.0008	2	Clostridium botulinum NCTC 2916
0.0008	2	marine gamma proteobacterium HTCC2148
0.0008	2	Streptomyces sp. AA4
0.0008	2	Bartonella bacilliformis KC583
0.0008	2	Hydrogenivirga sp. 128-5-R1-1
0.0008	2	Bacillus cereus ATCC 4342
0.0008	2	Neisseria lactamica 020-06
0.0008	2	Methanosarcina acetivorans C2A
0.0008	2	Rhodopirellula baltica SH 1
0.0008	2	Bacillus thuringiensis IBL 200
0.0008	2	Bordetella avium 197N
0.0008	2	Pongo abelii
0.0008	2	Yersinia pseudotuberculosis IP 32953
0.0008	2	Rhodopseudomonas palustris BisB18
0.0008	2	gamma proteobacterium HdN1
0.0008	2	Bacillus thuringiensis serovar pakistani str. T13001
0.0008	2	Neisseria gonorrhoeae PID1
0.0008	2	Acidothermus cellulolyticus 11B
0.0004	1	Deinococcus radiodurans R1
0.0004	1	Arthrobacter aurescens TC1
0.0004	1	Nematostella vectensis
0.0004	1	Rothia mucilaginosa ATCC 25296
0.0004	1	Streptomyces sviceus ATCC 29083
0.0004	1	Laribacter hongkongensis HLHK9
0.0004	1	Beutenbergia cavernae DSM 12333
0.0004	1	Escherichia coli E22
0.0004	1	Candidatus Amoebophilus asiaticus 5a2
0.0004	1	Campylobacter coli JV20
0.0004	1	Desulfurispirillum indicum S5
0.0004	1	Leptospira interrogans serovar Lai str. 56601
0.0004	1	Thiomicrospira crunogena XCL-2
0.0004	1	Synechococcus sp. RS9916
0.0004	1	Caldicellulosiruptor owensensis OL
0.0004	1	Clostridium botulinum B1 str. Okra
0.0004	1	Brevundimonas subvibrioides ATCC 15264
0.0004	1	Legionella pneumophila str. Lens
0.0004	1	Robiginitalea biformata HTCC2501
0.0004	1	Bifidobacterium bifidum PRL2010
0.0004	1	Capnocytophaga ochracea DSM 7271
0.0004	1	Bdellovibrio bacteriovorus HD100
0.0004	1	Rhodopseudomonas palustris CGA009
0.0004	1	Finegoldia magna ACS-171-V-Col3
0.0004	1	Pseudomonas putida F1
0.0004	1	Brucella abortus NCTC 8038
0.0004	1	Mannheimia haemolytica PHL213
0.0004	1	Ostreococcus lucimarinus CCE9901
0.0004	1	Lactobacillus crispatus ST1
0.0004	1	Actinobacillus pleuropneumoniae serovar 3 str. JL03
0.0004	1	Psychrobacter arcticus 273-4
0.0004	1	Ailuropoda melanoleuca
0.0004	1	Burkholderia cenocepacia HI2424
0.0004	1	Acinetobacter junii SH205
0.0004	1	Campylobacter lari RM2100
0.0004	1	Methanospirillum hungatei JF-1
0.0004	1	Vibrio cholerae 623-39
0.0004	1	Streptococcus pneumoniae CGSP14
0.0004	1	IncP-1 plasmid pKJK5
0.0004	1	Phytophthora infestans T30-4
0.0004	1	Ralstonia solanacearum CFBP2957
0.0004	1	Aspergillus flavus NRRL3357
0.0004	1	Pyrococcus abyssi GE5
0.0004	1	Rickettsia canadensis str. McKiel
0.0004	1	Methanohalobium evestigatum Z-7303
0.0004	1	Vibrio cholerae O1 biovar El Tor str. N16961
0.0004	1	Mycoplasma capricolum subsp. capricolum ATCC 27343
0.0004	1	candidate division TM7 genomosp. GTL1
0.0004	1	Caulobacter segnis ATCC 21756
0.0004	1	Shewanella violacea DSS12
0.0004	1	Staphylococcus aureus subsp. aureus C160
0.0004	1	Prochlorococcus marinus str. MIT 9211
0.0004	1	Ketogulonicigenium vulgare Y25
0.0004	1	Aliivibrio salmonicida LFI1238
0.0004	1	Novosphingobium aromaticivorans DSM 12444
0.0004	1	Acidimicrobium ferrooxidans DSM 10331
0.0004	1	Acinetobacter baumannii ATCC 17978
0.0004	1	Brucella suis bv. 3 str. 686
0.0004	1	Neisseria meningitidis Z2491
0.0004	1	Staphylococcus lugdunensis HKU09-01
0.0004	1	Clostridium thermocellum DSM 2360
0.0004	1	Clostridium hiranonis DSM 13275
0.0004	1	Gemmatimonas aurantiaca T-27
0.0004	1	Bifidobacterium catenulatum DSM 16992
0.0004	1	Haemophilus influenzae NT127
0.0004	1	Fusobacterium sp. D11
0.0004	1	Anaerococcus hydrogenalis DSM 7454
0.0004	1	Clostridium difficile QCD-37x79
0.0004	1	Pyrobaculum aerophilum str. IM2
0.0004	1	Nautilia profundicola AmH
0.0004	1	Sulfurovum sp. NBC37-1
0.0004	1	Escherichia coli O127:H6 str. E2348/69
0.0004	1	Haloterrigena turkmenica DSM 5511
0.0004	1	Nitrosococcus halophilus Nc4
0.0004	1	Acinetobacter sp. DR1
0.0004	1	Methanosphaerula palustris E1-9c
0.0004	1	Podospora anserina S mat+
0.0004	1	Streptococcus agalactiae 515
0.0004	1	Streptomyces lividans TK24
0.0004	1	Chlorobium limicola DSM 245
0.0004	1	Listeria monocytogenes serotype 1/2a str. F6854
0.0004	1	Kosmotoga olearia TBF 19.5.1
0.0004	1	Cellvibrio japonicus Ueda107
0.0004	1	Selenomonas noxia ATCC 43541
0.0004	1	Aurantimonas manganoxydans SI85-9A1
0.0004	1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
0.0004	1	Schistosoma mansoni
0.0004	1	Roseovarius nubinhibens ISM
0.0004	1	Haemophilus somnus 129PT
0.0004	1	Thioalkalivibrio sp. HL-EbGR7
0.0004	1	Paenibacillus polymyxa E681
0.0004	1	Acidobacterium sp. MP5ACTX8
0.0004	1	Lactobacillus vaginalis ATCC 49540
0.0004	1	Nocardia farcinica IFM 10152
0.0004	1	Arcobacter butzleri RM4018
0.0004	1	Bacillus cereus m1293
0.0004	1	Shewanella baltica OS195
0.0004	1	Pseudomonas fluorescens Pf0-1
0.0004	1	Prevotella sp. oral taxon 299 str. F0039
0.0004	1	Streptococcus pneumoniae G54
0.0004	1	Nostoc punctiforme PCC 73102
0.0004	1	Neisseria gonorrhoeae NCCP11945
0.0004	1	Listeria monocytogenes EGD-e
0.0004	1	Aerococcus viridans ATCC 11563
0.0004	1	Pseudomonas putida GB-1
0.0004	1	Geobacter sp. FRC-32
0.0004	1	Streptococcus equi subsp. equi 4047
0.0004	1	Vibrio sp. MED222
0.0004	1	Vibrio fischeri MJ11
0.0004	1	Fulvimarina pelagi HTCC2506
0.0004	1	Acetobacter pasteurianus IFO 3283-01
0.0004	1	Shewanella sp. MR-7
0.0004	1	Aeromonas salmonicida subsp. salmonicida A449
0.0004	1	Streptococcus pneumoniae BS458
0.0004	1	Pseudomonas syringae pv. oryzae str. 1_6
0.0004	1	Teredinibacter turnerae T7901
0.0004	1	Corynebacterium kroppenstedtii DSM 44385
0.0004	1	Bacillus cereus G9241
0.0004	1	Edwardsiella ictaluri 93-146
0.0004	1	Bradyrhizobium sp. BTAi1
0.0004	1	Prevotella tannerae ATCC 51259
0.0004	1	Prevotella oris F0302
0.0004	1	Helicobacter canadensis MIT 98-5491
0.0004	1	Clostridium papyrosolvens DSM 2782
0.0004	1	Dehalococcoides sp. BAV1
0.0004	1	Porphyromonas endodontalis ATCC 35406
0.0004	1	Neisseria gonorrhoeae FA 1090
0.0004	1	Micrococcus luteus SK58
0.0004	1	Catenulispora acidiphila DSM 44928
0.0004	1	Sulfurospirillum deleyianum DSM 6946
0.0004	1	Streptococcus pneumoniae SP11-BS70
0.0004	1	Haemophilus ducreyi 35000HP
0.0004	1	Acidobacterium sp. MP5ACTX9
