Number of total reads: 		250000
Number of unique reads: 	6503
Number of unique transcripts: 	6503
Number of unique organisms: 	305

Percent of total	Count	Species name
0.0068	17	Saccharopine dehydrogenase	06746a837a565edafd614d2a4420e3aa
0.0068	17	xanthine phosphoribosyltransferase	00969f2dfa8cb1be7c47202070eab50e
0.0068	17	cardiolipin synthase	015194da4e794e76ca058fa6763095dd
0.0064	16	DNA-binding response regulator RegX3	10666553d362ff4658ff0ffdbf2e258a
0.0064	16	Mg chelatas	060f3aa6e71b5ec903608bdded2b4ded
0.0064	16	HD domain-containing protein	14ba790bb618813dd6b10d804a61acaa
0.0064	16	excisionase	02597bea8ca519f3a1ddac7a86c1bb19
0.0064	16	coenzyme B12-dependent glycerol dehydrogenase medium subunit	06d609104517df6fe12fda78f5da063e
0.0064	16	putative cation efflux transporter	1657f24ec302d7a6bfc3c7c61cfd7f34
0.0064	16	cephalosporin-C deacetylase	0f4e48f270aafa54aec917e1f879662f
0.0064	16	dockerin type I repeat protein	01a3e9c1f5fca759855c9552aff416d9
0.0064	16	mannose-specific phosphotransferase system component IIAB	05d689725a48751672ac76a00ed764ae
0.0064	16	LamB/YcsF family protein	0189855ddbc9dc877cbb9479884c8b47
0.0064	16	DNA translocase FtsK	001df863ec81a6d3cf1958618c491e4d
0.0064	16	DegT/DnrJ/EryC1/StrS aminotransferase	011931dc960e99857480f3bf74f3a12f
0.0064	16	capsule biosynthesis protein	1055353eb9be80c1a24ab1020a62805b
0.0064	16	monofunctional biosynthetic peptidoglycan transglycosylase	00b8ff99540ab887fcf9df0e248b305b
0.0064	16	putative nicotinate-nucleotide pyrophosphorylase [carboxylating] (quinolinate phosphoribosyltransferase [decarboxylating])	189508ac15b4f8ae750f1ca3935e1546
0.0064	16	glycoside hydrolase clan GH-D	0490af1c6a025017e806a8ece7e8bd55
0.0064	16	4-hydroxybutyrate CoA-transferase	00c3de221638f50d70d18f4ab8dd1680
0.0064	16	oxidoreductase domain-containing protein	026e98abc7962f2218071f8f06400d7d
0.0064	16	AddB	0d0fcc9dc10cdfbd386388118dbf1897
0.0064	16	serine--tRNA ligase	046444792ad2343af495a8b6a2809ed4
0.0064	16	H(+)-transporting two-sector ATPase	0870fc921693e24dec7c8665930c9bf1
0.0064	16	glycosy hydrolase family protein	036f146ae50a8bb4c72d3612eb260c47
0.0064	16	putative amidohydrolase	024e77ab67af9402d1dc40d8c8e34fc4
0.0064	16	transcription elongation factor GreA	01acfa5532c90d2d963a335b1aa08eb7
0.0064	16	ThiJ/PfpI family protein	1313e3ed1b84f6057a0fd3452fb2a968
0.0064	16	putative sodium:alanine symporter	125be7112f219f24ff94b253289c5979
0.0064	16	RagB/SusD domain protein	0163799e139a2cb1c7ce94e23f71a04d
0.0064	16	putative acetyltransferase	02cc7e0b2f27b34cf5d9cecb0a98a4f9
0.0064	16	putative sulfate transporte	11f97cd183348f1146560b8e11a3e4dc
0.0064	16	subunit of pyruvate:flavodoxin oxidoreductase	10224945b8357ecc244713f1badfdacd
0.0064	16	protein of unknown function DUF187	00f4c46d222f39257365bcadc16365bf
0.0064	16	polygalacturonase	157a3becc803d6740dfcb155b10ee64f
0.0064	16	putative transcription termination factor NusG	16b22ec387baa3a6cbdc41f5ec837944
0.0064	16	30S ribosomal protein S20	0168609b8dc5ad511656749696a89863
0.0064	16	putative ATP-dependent metalloprotease	09e12f60aa7da91bff4ef58cd6ee0f71
0.0064	16	Mn-containing catalase	17736ecfe82eeb2aa1fa26eadc611ca4
0.0064	16	putative UDP-N-acetylglucosamine 2-epimerase	0e2cd6f6fa4fd5403f474c94770f4f18
0.0064	16	cell wall hydrolase/autolysin	031eb9ca341de9637318918491e921d9
0.0064	16	cobyrinic acid	0040dc0031ca8af2c72497ae8ab4e639
0.0064	16	heavy metal translocating P-type ATPase	00728659961bc57a7b6e51d5cdbdf659
0.0064	16	transposase IS200-family protein	08cc9b38922fa33c6619762bca0541df
0.0064	16	PTS family fructose porte	14b6485bee265292ae64b985c5bb4ca8
0.0064	16	seryl-tRNA synthetase	009bfef591c184abb26c5b948dd44790
0.0064	16	oxidoreductase domain protein	007a312b98d13e4c65b64108412d4619
0.0064	16	glycosyl hydrolase family 10	08f1959fa710aa282b2bae25764c0bb5
0.0064	16	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	0ff0f5e210cdece13c45aec49ae77fd9
0.0064	16	mannose-6-phosphate isomerase	003a9a62337e7a84aba89ddd949403a1
0.0064	16	polyprenyl synthetase	04f727bc98c5fc6c46a83a5b5ada9647
0.0064	16	cationic outer membrane protein precursor	01805cccd97b9922dcb770ca79f3a0cb
0.0064	16	Na/Pi-cotransporter II-related protein	05c9707424300ffab4520b06f7227365
0.0064	16	serine acetyltransferase-like protein	0c334d4a4518bab933d753041fbed77c
0.0064	16	predicted calcium-binding protein	00ecdc9a407daf6d6f45bf8806658dff
0.0064	16	fused N-acetyl glucosamine specific PTS enzyme: II	18d07631bf2f80a1e72ec26233972c35
0.0064	16	beta-hexosaminidase	0771131134b630c8a1ad336281f954a4
0.0064	16	signal peptidase I	01713a863eeb2b47ac380b26539cca53
0.006	15	putative DEAD box helicase	05ad3d000b6f1c18494e8f5f81777da9
0.006	15	23S rRNA (uracil-5-)-methyltransferase RumA	036c3a62099325f22328b003278c336d
0.006	15	maltose-binding protein	0a5dd45dadb759dc533694f600bd6ed7
0.006	15	carbamoyl-phosphate synthase large subunit	0338930e322783d116d3c62880e67beb
0.006	15	(p)ppGpp synthetase I (GTP pyrophosphokinase	092b728c1a387b2105dc63accd48ffcc
0.006	15	probable secreted glycosyl hydrolase	11436d914ff9b2a1b58036f0688fab88
0.006	15	Ribosomal protein L1	01401c06344ff3f0dfa8bebad4817f89
0.006	15	xylose isomerase	0d9f7eb83cca794bb1696315484b07cf
0.006	15	LSU ribosomal protein L3P	014ff14f3308e04af599d2110ed2048a
0.006	15	pullulanas	02db7793cdcd41ba286eb01965ba4823
0.006	15	3-oxoacyl-[acyl-carrier-protein] reductase	021a5cc462c4750e639995f10979e790
0.006	15	fibronectin-binding A domain-containing protein	157d57d4273ff708e6fa6bad93e22870
0.006	15	phosphoglycerate dehydrogenase and related dehydrogenase	14a1ce3fb92f39cbd673d76bfe7bc41d
0.006	15	endoglucanase family 5	02a0cac5d5132112fe74c4e3248dee5f
0.006	15	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	0366318cb179d131c3328c0823a1401e
0.006	15	addiction module toxi	02ffcff3b3ef5aaeb61deb8bf24b36f4
0.006	15	nitroreductase	05df0c79b654ca9fa7f189c6dfeacca4
0.006	15	subtilase family serine protease	0f7df0215dc215f16d883b0595be3438
0.006	15	helix-turn-helix domain protein	09b726b012b38a4e3a2631a2e847ce40
0.006	15	malate dehydrogenas	0096b3b011a6cb97412bebe5c1e711f1
0.006	15	ABC transporter-related protein	009ac618b963684a989312876257445e
0.006	15	PDZ domain-containing protein	0ca0f80eab23779dd99b9c817903478d
0.006	15	metallo beta-lactamase family protein	16ea8f49494d7ca9c859db32df9eff4e
0.006	15	two component transcriptional regulato	010f9bcd859bd1625d4b9aff99c03d44
0.006	15	elongator protein 3/MiaB/NifB	04f70e39a0d33fef77673033f7a44b56
0.006	15	ribulose-	153a47f33a32a7f20447a871bf3958ec
0.006	15	MiaB-like tRNA modifying enzyme YliG	02a3d10f01ce97ae726cf09cf1dfbe81
0.006	15	protein of unknown function DUF224 cysteine-rich region domain protein	064f1b436a5b8bd1677dcf0d1ec27431
0.006	15	biotin and thiamin synthesis associated	0e5d98c7cab646ef8d234d537262c466
0.006	15	sulfate adenylyltransferas	146a9b431cae37902e765d35d6682148
0.006	15	ribosomal protein L28	0868bb4d73df0ffce7febb93caf2b4bc
0.006	15	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	017a3d7c8030da1c18f4443f48d46e46
0.006	15	Transposase	17597846182e8ade4a29e6fc66a3f31f
0.006	15	LysR family transcriptional regulator	03be7e494109c3a9d1763f0ecca99f60
0.006	15	ABC-type sugar transport syste	04977d940be58f7d37b83059df66282e
0.006	15	bacterial membrane protein	0716abad306aa66ba3b8181b02bfcffc
0.006	15	putative cytoplasmic protein	027f40bf0f603438590feb4b2b9b750f
0.006	15	bifunctional	0451df13357f62268643efd366ddbd80
0.006	15	exodeoxyribonuclease III Xth	01758d4ee5d78c8206f52b46717e8e51
0.006	15	small GTP-binding protein	11bed6f3ffb281ab1434f8012bf254cd
0.006	15	cellobiose-phosphorylase	04e3e15a06aab1ce2dca526d3b5d2d03
0.006	15	fumarate reductase iron-sulfur subunit	0567615c44b664d5ce0a748ec19f6235
0.006	15	ABC transporter permease	00542cbba276d2ba6085427aa77723fd
0.006	15	diguanylate cyclase	118222460bea1299fc0c360ad3cc8cb5
0.006	15	methyl-viologen-reducing hydrogenase delta subunit	0731240995d100fdce2707671a6c2785
0.006	15	DEHA2D02376p	0221ecec451b12e70002f5949f38f383
0.006	15	putative ABC transport syste	12ed22164b86af8c44f4fc4e13370345
0.006	15	UDP-N-acetylglucosamine	05df4f1bce1a6cbcb1e84d9ab4dd0482
0.006	15	L-ribulose-5-phosphate 4-epimerase	00059b692391c88b038ef2187826dad2
0.006	15	shikimate 5-dehydrogenase	01eacb5e80e75595d8879d2912713a85
0.006	15	putative deoxyribonucleotide triphosphate pyrophosphatase	0189171ca42d28c16e5df08cc728b72e
0.006	15	stationary-phase survival protein SurE	0386e04b2c356ec540a80810b93d9da9
0.0056	14	ATP synthas	03d94ccfd74adeda5a4823fa7a90f79c
0.0056	14	Malate dehydrogenase (oxaloacetate-decarboxylating)	15dae5180a74d07f5dc161c5658a5ada
0.0056	14	metallo-beta-lactamase domain protein	07b95c38775ac1214352e65e9bfb80b9
0.0056	14	electron transfer flavoprotein subunit alpha	00928eb925290bb53556a10aa5761900
0.0056	14	3-dehydroquinate dehydratase	074602f699e7084f15d62af8eec743dd
0.0056	14	xylan	0312cedb99631f113b689a50349456f5
0.0056	14	anti-sigma regulatory factor	103190ae62e470fa199d05073872cdb7
0.0056	14	autoinducer-2 (AI-2) kinase	02249b8813c7112bdd2d055c533cdfe4
0.0056	14	nucleotide sugar dehydrogenase	0323ddc183d30be0e294ec92b1191036
0.0056	14	pyruvate flavodoxin/ferredoxin oxidoreductase domain protein	03d0fe9ce56e07852011c506895a2d2d
0.0056	14	carbon starvation regulatory protein	0279a2ffa012913c13e207076dc9be08
0.0056	14	spermidine synthase	02e04a8b2f0683cf42ed84b1f8828553
0.0056	14	ATP-dependent Clp protease ATP-binding subunit ClpC	0a979a137bd72f6a3001fbca0008b305
0.0056	14	Enolase	14f41cfe83652711d5f8b0356919f556
0.0056	14	phosphoglucomutase	01aa2abab4cd788016cb919a18b9f37d
0.0056	14	Lon protease	1755b5991b146d17152489aef8d19670
0.0056	14	D-alanyl-alanine synthetase A	03b9586f1332b235cf4d81aff3dbc5aa
0.0056	14	PspC domain protein	0e6e502a87d445b0f7e5dfb5737a396b
0.0056	14	PHP domain protein	09726c1a0d8530a05c11512fe857ff84
0.0056	14	putative nucleotide sugar dehydratase	1617db19ddf126a12cdea2a221cacf99
0.0056	14	ureas	030117c7a1935899da1e7c7a95710b27
0.0056	14	Mn2+ and Fe2+ transporter	179efa62ffd79897df8f3d1d19e8812e
0.0056	14	pyridoxamine kinase	03fd743f89aab011855e34541167438c
0.0056	14	exodeoxyribonuclease III	0400a7f1414b182caa619b2403b1cc95
0.0056	14	possible (S)-3-amino-2-methylpropionate transaminase	06df53bcbb71dea4e875b65b10440357
0.0056	14	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	182501e35d046314e36d76e74dd409e1
0.0056	14	3-phosphoshikimate 1-carboxyvinyltransferase	089473b7f5ae1e006fac2e36a18ba6bf
0.0056	14	putative sugar ABC transporter substrate-binding protein	0503a7132ece38b265e73e6fb30c2e74
0.0056	14	ABC transporter periplasmic substrate-binding protein	1626e3690d47dc127bcaa16ee8cf080b
0.0056	14	metallophosphoesterase	090b082c73961d4758af6b7aec5c3eaa
0.0056	14	histidine--tRNA ligase	0173dad37a9231cb778ee960c35d4ed7
0.0056	14	putative cytidylate kinase	0494b0c19a703767960b233f9e770ed5
0.0056	14	asparaginyL-tRNA synthetase	05e36ce15186b1e8bc316b30efd0a9be
0.0056	14	extracellular solute-binding protein family 5	00219493bf38461d4d766ec04421aae9
0.0056	14	50S ribosomal protein L29	08a40560715cf74c6c0fb24c72d24e65
0.0056	14	aminopeptidase C	000ae9ef71fbec67bbff34b236307e28
0.0056	14	UDP-N-acetylmuramate dehydrogenase	087838f193ec364ae44c7c52d3c975bd
0.0056	14	dihydrolipoamide dehydrogenase	01d86c19a9db19cb1d26c7c90e964242
0.0056	14	yurP	104a75873eb0edcf15a64609cb32cda7
0.0056	14	beta-lactamase domain-containing protein	01e919ddd9a20d81791e8cb6daf98469
0.0056	14	glucose-inhibited division protein	00825d459b3fff62a8b07016b9958a7c
0.0056	14	putative vitamin B12 receptor	181ac1fec5887f4df044eaba0c9c5d98
0.0056	14	metal dependent phosphohydrolase	02995aaee34374e0c017d84775c1d559
0.0056	14	NADH dehydrogenase subunit 11	0db7c8f122031e7bdd70b5153d2a2015
0.0056	14	alpha-galactosidase	009b85d47d1ade4be6ff5950d4d0ed4e
0.0056	14	TonB-dependent outer membrane receptor	03e387dc9b4f6f2f5a9651dd93c48765
0.0056	14	phosphoglycerate dehydrogenase-like oxidoreductase	0e23cda4bf2b911ca5590c4f3fd79149
0.0056	14	3-oxoacyl-(acyl-carrier-protein) synthase 2	0542f4b178ed208dcb7c9d1b7b3f26e7
0.0056	14	non-specific serine/threonine protein kinase	072f6c5e158fe0622893fb8e147e5bae
0.0056	14	CutC family protein	0a01d12d6b97a74ec86bf62ebd0213c1
0.0056	14	putative nucleoside-diphosphate sugar epimerase/dehydrase	0456e626dd54d2c2fc3b4aebd43e0a30
0.0056	14	NLP/P60 protein	0798a91fb0d91ae34600938d94e270da
0.0056	14	radical SAM enzym	011068c06495b633a2b68a097b5e2707
0.0056	14	holliday junction DNA helicase RuvB	0c07b78f21ff253f4a9948c4d0ff9194
0.0056	14	addiction module antitoxin	130f86afebfb213d2f8abc6a028b46c3
0.0056	14	putative regulatory protein	045e826d9b95a3b7eab3287709b05eb7
0.0056	14	Alpha-glucuronidase	00d6344b50ec0b5ba8ef11db8c989191
0.0056	14	relaxase/mobilization nuclease domain protein	064f0d84a4dc616afe7ef4d11104c596
0.0056	14	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	05fb7f92580727342b2fa970354564b9
0.0052	13	ribonuclease Ph	02edab50b90251c6f1b4eb9f88e43315
0.0052	13	amino acid ABC transporte	0044e08ebf358aa54e0a2555056cb5a9
0.0052	13	hemolysin erythrocyte lysis protein 2	003257a035c215541ac5b783507136ea
0.0052	13	ribosomal protein L19	024414f2fa438743bb47f5368e8404ec
0.0052	13	OmpA-related protein	0036b1b86eae9b41d2c4df33f5f62a43
0.0052	13	OmpA family protein	0076c3c2d3a955506af824b4831f9490
0.0052	13	HPr kinase	0cff7ba6bba44c8cffcc9bd5045104ff
0.0052	13	putative endonuclease	01dd8b703d097aec6bc32259a5229e1e
0.0052	13	endonuclease V related protein	034ab0f9001a5479676494ff78bd88e8
0.0052	13	molybdenum ABC transporter	093d415eaccf580a56945b6b92dc48a6
0.0052	13	putative membrane protein	05d852642d864d38ce2c110ada22c1a2
0.0052	13	homoserine dehydrogenase	0eea9eff2a5fd1df147f2100d5c32629
0.0052	13	histidine triad protein	0a734633f13522a5635fc486e6d98c02
0.0052	13	ABC transporter	02b690cf378cd961987b4dd3e57e6d2e
0.0052	13	(dimethylallyl)adenosine tRNA methylthiotransferase	0025f97a6f4dcc62504d6a4d113d4c38
0.0052	13	superoxide dismutas	0b412c6661e77eeb425b5309bfffba40
0.0052	13	ribosomal protein L1	0a5adb78db0b6adc86a240163d210fb8
0.0052	13	indolepyruvate oxidoreductase subunit beta	125f849067a38a519f84cc328f178b51
0.0052	13	thiamine-phosphate pyrophosphorylase	00065ea212fc84fd83409e86d4bf78a3
0.0052	13	hemolysin A	0045dad836b3c36cbe7ac15e57ac4425
0.0052	13	thiamine phosphate pyrophosphorylase	0e3bc9e7c3d36e5aad24dfc4740383f7
0.0052	13	putative methionine synthase	035ab07772c87505f9a4b50f7532907f
0.0052	13	4-aminobutyrate aminotransferase	03f02795c556c3b2d61b9f853c0c01ba
0.0052	13	mannose-specific phosphotransferase system component iiab	0e489a59876d5998cdd16c5b255c69bf
0.0052	13	diaminopimelate aminotransferase DapL	12214b566578fac485ae7dfc89e567e8
0.0052	13	transcriptional regulator NrdR	03ff7300df34cb90e87b39ee7e56cd7b
0.0052	13	CRISPR-associated endonuclease Cas	03f4d8312daf194b691715558d7153a1
0.0052	13	TIM-barrel protei	06e60fafb956878840d9f014377ada7f
0.0052	13	putative pyridoxal kinase	01dbeb2b56526bda4448f523157390f3
0.0052	13	selenium-dependent molybdenum hydroxylase 1	005034fb157a265262a876430fab53c9
0.0052	13	D-isomer specific 2-hydroxyacid dehydrogenas	00b88f807a52b88170c19403d1e08ff8
0.0052	13	IlvH	05fa1127b3627e721061f6f8441c8ae0
0.0052	13	ribonuclease H	039289efadbffe4c0aef6031d9f81ff8
0.0052	13	glutamine synthetase	09ac1b672ebc7c87e76b195854f766a4
0.0052	13	putative aminopeptidase C	10d2563d9eb73e2e5fe970bc04292f11
0.0052	13	peptide chain release factor 1	0358b785a76d864d454cb05610bae6b9
0.0052	13	Mandelate racemase/muconate lactonizing protein	05c04b56e527c77592c615a238e39d46
0.0052	13	putative transporter	0f4994570a4c96959bee2ac906c01069
0.0052	13	phosphoribosylamine-glycine ligase	1528552db28d32d59f026c8bcaec2a44
0.0052	13	putative sugar ABC transporte	0735674a134d1f8115da19c5cce84578
0.0052	13	glycoside hydrolase family 3 protein	0b24de23a24f2fdd663508e63c56f878
0.0052	13	Putative translation initiation inhibitor	170195206b7364504edb250f6468c6d3
0.0052	13	ribosomal protein S12	118bd559f37c41cb353e9da4c82cdbd5
0.0052	13	iron-sulfur cluster-binding protein	14cab078dea63ae3c5472c834ad2a52e
0.0052	13	6-phospho-beta-glucosidase	0028a657355b21342f9b9a9fca696830
0.0052	13	integral membrane sensor signal transduction histidine kinase	032494faf9ca8e8b91e36073bb10fd52
0.0052	13	serine/threonine protein kinase	004dbe7bfc4cad17b23d7e488bb7215f
0.0052	13	putative heme biosynthesis protein	0f09fa9cec9cfa7b1509792dca3a248e
0.0052	13	mannitol dehydrogenase	13199ac811540641d80dc4d7bcc23f0d
0.0052	13	stage V sporulation protein E	0786b1daafbe28fcc14deeea81af2248
0.0052	13	histidinol phosphate phosphatase HisJ family protein	148a3edb1832b954ef14550732649de5
0.0052	13	FAD-dependent pyridine nucleotide-disulfide oxidoreductase	04c309a266c28de49eda1a293bbefb6c
0.0052	13	glucosamine-6-phosphate deaminase	069546a1c7cccae6610ee536357d60ec
0.0052	13	RNA polymerase sigma-E factor	15101d8099586d2c9b3da0b429786b21
0.0052	13	cysteine desulfurase NifS	138cef2c6c1c58af0a701338249c9029
0.0052	13	putative permease	0301e66e0f603cde30c74d88d84ae92a
0.0052	13	methionyl-tRNA synthetase beta subunit	07a5f584db2175adecaa34bed5266116
0.0052	13	type IV prepilin leader peptidase	1800fd3917c41c5094ec043a1fc62e38
0.0052	13	multiple sugar-binding transport ATP-binding protein	01a1ae3c99acd15c9021e4c88ac125aa
0.0052	13	Xaa-Pro dipeptidase	066fa45917ba779c64ccfa16fefbf4ed
0.0052	13	glycine dehydrogenase	02430d59dfff688af6cb67c228f9ee16
0.0052	13	membrane-associated peptidase rhomboid family	1724770c01f3b64666d6c97d8d16329d
0.0052	13	GldB family lipoprotein	193e51846005bb8409f2bcc09a15e01b
0.0052	13	chaperonin Cpn10	016ed97da018fef1b28a3a98f7d3dde1
0.0052	13	NAD(P)-specific glutamate dehydrogenase	0e47150ef3710265a535a5e038abc836
0.0052	13	RNAse H family protein	125c6b3fd1db701c0c73c4f424124ba0
0.0052	13	ethanolamine utilization protein EutJ	0241e9e8984517c86d0f5ba42d8397a4
0.0048	12	imidazole glycerol phosphate synthase subunit HisF	009dc548439fd3481691fb1842a9547b
0.0048	12	hypothetical	02b7c0f4b527b33b96691cfadf03b3ae
0.0048	12	electron transport complex RsxE subunit	073e057ce8de2a03dd8bc8026c9953f8
0.0048	12	fructose specific permease	0c68560e21900e5ee4db523d4696ee38
0.0048	12	alpha-amylase precursor AmyE	00c7b2904f51f0176d3ce1de0ce6bb6e
0.0048	12	transketolase subunit B	020ef29a1e203341de692011b4b077be
0.0048	12	phosphatidate cytidylyltransferase	0054fbcf3a9a36b97db7c278ccdcaf0a
0.0048	12	GTP-binding protein TypA	055c8c71d21336017448ca4443486d68
0.0048	12	peptidase U32	005a57d3a38c02b5b867a138123c7b91
0.0048	12	D-phosphoglycerate dehydrogenase	1042fe8781ca535ddbdd9f7bb11cd704
0.0048	12	glucosamine-1-phosphate N-acetyltransferase	108e6a0faaaaf83442b78e415adf299c
0.0048	12	ribosomal protein L6	0450a6665f9e5f3153219cd1922849f4
0.0048	12	adenosylhomocysteinase	025cbc7f6e8cdf2a3bdf66d119e7d51b
0.0048	12	binding-protein-dependent transport system inner membrane component	0b3f6b7d653c3aa32c19ae1fe0365f93
0.0048	12	GrpE protein	066747f96550103b8a69707fc716c251
0.0048	12	magnesium transporter MgtE	1755a9f651a5e65d181d01281b981d52
0.0048	12	single-stranded DNA-binding protein	02d08612c57d826b4a8b7c5d1dbd7939
0.0048	12	formate C-acetyltransferase	044c4760836a6b5864e45fbc57fa1d01
0.0048	12	rhodanese-like protein	067f2313d2ce05f770531814ecdc7b43
0.0048	12	putative dihydroxyacetone/glyceraldehyde kinase	07f42a996254a81283cdeb3e663dcd40
0.0048	12	glucosamine-6-phosphate deaminase-like protein	0008e5e044357ea649b7733ef473bb71
0.0048	12	D-ala D-ala ligase N-terminal domain protein	14db5f94a200e50ca3f996fffeddad71
0.0048	12	Na+ transporting oxaloacetate decarboxylase alpha chain	16a817ce34e3531e384a2cee8a255ea1
0.0048	12	succinate dehydrogenase/fumarate reductase iron-sulfur subunit	0c789343e8cd4c905393e7529e4fbb93
0.0048	12	primosomal protein n''	077aace11e8dd89f680e571669785f59
0.0048	12	glycine reductase comple	0b83984ce5c368002072c93bc5a34fb2
0.0048	12	tRNA (guanine-N(1)-)-methyltransferase	0222ff0d47b0aeb986df99aec648e6bb
0.0048	12	methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase	0a17d5519b52ad0026798c45d511b29b
0.0048	12	CBS domain-containing protein	0033ed1b543782809bbff8aa6df723e3
0.0048	12	4-hydroxyphenylacetate 3-hydroxylase family protein	053ec12f6f97200f18d6844137a7cd25
0.0048	12	deoxyguanosinetriphosphate triphosphohydrolase	0190556a8c50d6b85a6f9ed0d841640f
0.0048	12	clostripain-related protein	14612e898a715bb57dbd94e5b8332b50
0.0048	12	AAA family ATPase	1a928ddaa56319818530b0f69c0c5a91
0.0048	12	dihydroorotate dehydrogenase electron transfer subunit	08eb445617be20107ed27bcc66cbc82d
0.0048	12	biotin-[acetyl-CoA-carboxylase] ligase	1a56a73a64e1b6a5a647abc850412409
0.0048	12	cation transporter	07e5034e028bcfd8b1624dc4cf783005
0.0048	12	peptidase M15B and M15	0b9a8dd527516ed9058c4a855a49f54a
0.0048	12	NTP pyrophosphohydrolase	1180a669de9a555275473fce3cf06fe8
0.0048	12	putative efflux pump component protein	0662d347a5c5068f4d7cd1fd25ec0b39
0.0048	12	Putative protein of unknown function	032a958be7af60ace72f4499e5cac752
0.0048	12	dimethyladenosine transferase	07aa15eef9bf779c737ac8d1060d56e4
0.0048	12	putative glycosyl transferase	098b389a6ac3d0a7a9de57a3a0ec665b
0.0048	12	DNA repair protein RadC	05b29f7ecc237d4e3523c913597edd98
0.0048	12	homocysteine S-methyltransferase	04cb98022bb4bec5f39352d1b0615ee6
0.0048	12	pyruvate kinase (pykA)	0579a2c1ef2243fb31471a2ebb4e90fa
0.0048	12	indolepyruvate ferredoxin oxidoreductas	0ae04854a0957030c3f3787c4a40f7a2
0.0048	12	periplasmic binding protein	05a343ebeacf2f20358b0a1a6cfadc4f
0.0048	12	methionyl aminopeptidase	03a9de97a1428f536612fd00ad378961
0.0048	12	ATP synthase subunit alpha	0e6a2c3ed251516b15a72d4b8c6a8fbd
0.0048	12	ATP synthase subunit	0dd4b36b9a7c1c7381e863d6066be86b
0.0048	12	uracil-DNA glycosylase	0330e7d104cef83fb033674dcd6b070f
0.0048	12	AMP-dependent synthetase and ligase	00c79390b12cd161a2e31134bdfaf648
0.0048	12	D-tyrosyl-tRNA(Tyr) deacylase	01fb92f708902907016eb31ed850719b
0.0048	12	ABC transporter ATP binding protein	0b347bbd18d9f4d2ea7b8e731bda80bb
0.0048	12	transketolase domain-containing protein	08c1596e27c713ade7e0109d34d4f425
0.0048	12	peptidase t	05173cbeda8f8ff7ad572738159c85b6
0.0048	12	XRE family transcriptional regulator	0416abd5846d26a9f606ddaa8a4aaa93
0.0048	12	peptidyl-prolyl cis-trans isomerase cyclophilin type	137bbd67c80cd433280aba8f670b670a
0.0048	12	succinate CoA transferase	19a39900483842ded291fa997982cc4b
0.0048	12	putative alpha-	0393f1e70e2c3213ec496691b9d9df9e
0.0048	12	vitamin B12-dependent methionine synthase family protein	069b5cb99e8ea83fc1c3e0db8640912c
0.0048	12	succinate dehydrogenas	03255c57636a7190a00740e01befd90b
0.0048	12	FAD-dependent thymidylate synthase	025ef029d12eab19653c448b69b8f3a9
0.0048	12	small acid-soluble spore protein (alpha/beta-type SASP)	0871fe1d0a3312e6050576987f2d0e85
0.0048	12	hypothetical protein isoform 6	0555b105bc1edf5981a9f246eb0069b0
0.0048	12	protein of unknown function DUF1745	08de557a7cabbbddf2380d4277ef3b5d
0.0048	12	cadmium-exporting ATPase	08215a56a63d7792cd580c03e8d4bbaa
0.0048	12	dihydroorotate dehydrogenase 1B	04c46646e3096199b4bacbd3a277eeab
0.0048	12	UvrD/Rep helicase family protein	15b07cebce757b8d569ba18ba60e61ff
0.0048	12	3-methyl-2-oxobutanoate hydroxymethyltransferase	01e1bc7779ad37615845056e7817d38d
0.0048	12	xylose ABC transporter	0846f066754ef9848693b337c07d3aca
0.0048	12	fimbrial subunit B protein FszB	059a13a44b15466700b7877fd679309e
0.0048	12	spermidine/putrescine transport system ATP-binding protein	0b5c429bbc4a268f0375608d898fdcb5
0.0048	12	Imidazoleglycerol-phosphate dehydratase	09d289efcc2fc68d591ce6157b3926ec
0.0048	12	valine--tRNA ligase	002dfece648a033dd69ac5014008abb7
0.0048	12	50S ribosomal protein L1E (L4P)	00b9e146c2cf74bcd609606c14ec7806
0.0048	12	phosphopentomutase	03d335525ab6b3a54a7bd6c5371bd4df
0.0048	12	cobyric acid synthase	13ef637a49e38ef54ad664e0d0116cec
0.0048	12	glycogen/starch synthase	1320ebc82f14b2bd76fca0b436a898e9
0.0048	12	glucosamine--fructose-6-phosphate aminotransferase	009d05102dd652c796483e6578b0853d
0.0048	12	glycosyl hydrolase family 3 N-terminal domain protein	0501934a9ca7f01f95bebe173d958f99
0.0048	12	glutamate-1-semialdehyde aminotransferase	0004ac8ad40c6a57f21a99144c39297b
0.0048	12	bacterial extracellular solute-binding protein	046f9700c5a57a93ab14d7a90797a805
0.0044	11	peptide ABC transporter permease	097f3a4c2c559165305d89501d219ba1
0.0044	11	alanine racemase domain protein	144930a9a0f924fb6591e56b4e58f8fc
0.0044	11	regulator of sorbitol operon	01efc7f4cd31e46742f4c17427bd990c
0.0044	11	NADH-quinone oxidoreductase	049c394621a88d6ac6d382f7d43b0b5e
