Number of total reads: 		250000
0.0084	21	Thermotoga petrophila RKU-1
0.0084	21	Schizosaccharomyces pombe 972h-
0.0084	21	Streptococcus pyogenes MGAS10750
0.0084	21	Brachyspira pilosicoli 95/1000
0.0084	21	Leuconostoc gasicomitatum LMG 18811
0.0084	21	Gluconacetobacter diazotrophicus PAl 5
0.0084	21	Pelagibaca bermudensis HTCC2601
0.0084	21	Leptospira borgpetersenii serovar Hardjo-bovis L550
0.0084	21	Oenococcus oeni AWRIB429
0.0084	21	Rhodobacter capsulatus SB 1003
0.0084	21	Geobacter sulfurreducens PCA
0.0084	21	Fusobacterium ulcerans ATCC 49185
0.0084	21	Lactobacillus ruminis ATCC 25644
0.0084	21	Anopheles gambiae str. PEST
0.0084	21	Neisseria lactamica 020-06
0.008	20	Culex quinquefasciatus
0.008	20	Escherichia coli O157:H7 str. EDL933
0.008	20	Robiginitalea biformata HTCC2501
0.008	20	Amycolatopsis mediterranei U32
0.008	20	Chlorobium chlorochromatii CaD3
0.008	20	Acinetobacter baumannii ATCC 17978
0.008	20	Riemerella anatipestifer DSM 15868
0.008	20	Enterococcus gallinarum EG2
0.008	20	Halanaerobium sp. 'sapolanicus'
0.008	20	Streptococcus pyogenes MGAS10394
0.008	20	Debaryomyces hansenii CBS767
0.008	20	Lactobacillus crispatus ST1
0.008	20	Pongo abelii
0.008	20	Zymomonas mobilis subsp. mobilis ZM4
0.008	20	Bacillus anthracis str. Vollum
0.008	20	Bacillus cereus m1293
0.0076	19	Paenibacillus vortex V453
0.0076	19	Pasteurella multocida subsp. multocida str. Pm70
0.0076	19	Vitis vinifera
0.0076	19	Lactobacillus plantarum WCFS1
0.0076	19	Azorhizobium caulinodans ORS 571
0.0076	19	Arcanobacterium haemolyticum DSM 20595
0.0076	19	Atopobium rimae ATCC 49626
0.0076	19	Photobacterium profundum SS9
0.0076	19	Granulicatella elegans ATCC 700633
0.0076	19	Listeria monocytogenes HCC23
0.0076	19	Bacillus cereus ATCC 10987
0.0076	19	Anaeromyxobacter dehalogenans 2CP-C
0.0076	19	Perkinsus marinus ATCC 50983
0.0076	19	Saccharopolyspora erythraea NRRL 2338
0.0076	19	Rhodothermus marinus DSM 4252
0.0072	18	Branchiostoma floridae
0.0072	18	Ferrimonas balearica DSM 9799
0.0072	18	Cupriavidus metallidurans CH34
0.0072	18	Synechocystis sp. PCC 6803
0.0072	18	Pyramidobacter piscolens W5455
0.0072	18	Photorhabdus luminescens subsp. laumondii TTO1
0.0072	18	Aerococcus viridans ATCC 11563
0.0072	18	Streptococcus pneumoniae G54
0.0072	18	Geobacillus sp. C56-T3
0.0072	18	Mycoplasma gallisepticum str. R(low)
0.0072	18	Drosophila pseudoobscura pseudoobscura
0.0072	18	Atopobium vaginae DSM 15829
0.0072	18	Thermodesulfovibrio yellowstonii DSM 11347
0.0072	18	Vibrio cholerae RC9
0.0072	18	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7
0.0072	18	Gibberella zeae PH-1
0.0072	18	Aggregatibacter segnis ATCC 33393
0.0072	18	Pseudoalteromonas sp. SM9913
0.0072	18	Ralstonia eutropha H16
0.0072	18	Veillonella parvula ATCC 17745
0.0068	17	Ruegeria sp. TM1040
0.0068	17	Janthinobacterium sp. Marseille
0.0068	17	Thermaerobacter subterraneus DSM 13965
0.0068	17	Pseudoalteromonas tunicata D2
0.0068	17	Paramecium tetraurelia strain d4-2
0.0068	17	Arthrobacter sp. FB24
0.0068	17	Fusobacterium sp. D12
0.0068	17	Cryptosporidium hominis TU502
0.0068	17	Alkalilimnicola ehrlichii MLHE-1
0.0068	17	Streptococcus pneumoniae CDC3059-06
0.0068	17	Salmonella enterica subsp. enterica serovar Typhi str. E02-1180
0.0068	17	Bordetella bronchiseptica RB50
0.0068	17	Streptococcus sp. 2_1_36FAA
0.0068	17	Escherichia coli APEC O1
0.0068	17	Halogeometricum borinquense DSM 11551
0.0068	17	Borrelia duttonii Ly
0.0064	16	Deinococcus geothermalis DSM 11300
0.0064	16	Rhodococcus jostii RHA1
0.0064	16	Clostridium botulinum C str. Eklund
0.0064	16	Methylobacillus flagellatus KT
0.0064	16	Methanoculleus marisnigri JR1
0.0064	16	Bifidobacterium angulatum DSM 20098
0.0064	16	Streptococcus equi subsp. equi 4047
0.0064	16	Dehalococcoides sp. BAV1
0.0064	16	Staphylococcus aureus subsp. aureus 132
0.0064	16	Pichia pastoris GS115
0.0064	16	Oenococcus oeni PSU-1
0.0064	16	Bacteroides sp. D1
0.0064	16	Candida glabrata CBS 138
0.0064	16	Azospirillum sp. B510
0.0064	16	Mycobacterium sp. MCS
0.0064	16	Anaerococcus lactolyticus ATCC 51172
0.0064	16	Campylobacter concisus 13826
0.0064	16	Gordonia bronchialis DSM 43247
0.0064	16	Edwardsiella tarda EIB202
0.0064	16	Catonella morbi ATCC 51271
0.0064	16	Flavobacteria bacterium MS024-2A
0.0064	16	Naegleria gruberi strain NEG-M
0.0064	16	Guillardia theta
0.006	15	Candidatus Amoebophilus asiaticus 5a2
0.006	15	Desulfarculus baarsii DSM 2075
0.006	15	Shewanella amazonensis SB2B
0.006	15	Streptococcus pyogenes MGAS10270
0.006	15	Bacillus cereus MM3
0.006	15	Alcanivorax borkumensis SK2
0.006	15	Synechococcus sp. RCC307
0.006	15	Rhodobacter sphaeroides 2.4.1
0.006	15	Lactobacillus salivarius ATCC 11741
0.006	15	Streptococcus infantis SK1302
0.006	15	Aciduliprofundum boonei T469
0.006	15	Sphingobacterium spiritivorum ATCC 33300
0.006	15	Opitutus terrae PB90-1
0.006	15	Microscilla marina ATCC 23134
0.006	15	Bordetella avium 197N
0.006	15	Treponema vincentii ATCC 35580
0.006	15	Geobacter sp. FRC-32
0.006	15	Equus caballus
0.006	15	Magnetospirillum magnetotacticum MS-1
0.006	15	Clostridium botulinum B1 str. Okra
0.006	15	Nostoc punctiforme PCC 73102
0.006	15	Kineococcus radiotolerans SRS30216
0.006	15	Vibrio fischeri ES114
0.0056	14	Sulfitobacter sp. NAS-14.1
0.0056	14	Novosphingobium aromaticivorans DSM 12444
0.0056	14	Enterococcus faecalis D6
0.0056	14	Escherichia coli MS 84-1
0.0056	14	Clostridium perfringens C str. JGS1495
0.0056	14	Methylococcus capsulatus str. Bath
0.0056	14	Agrobacterium vitis S4
0.0056	14	Streptococcus pneumoniae CGSP14
0.0056	14	Cryptosporidium muris RN66
0.0056	14	Acetohalobium arabaticum DSM 5501
0.0056	14	Xanthobacter autotrophicus Py2
0.0056	14	Ciona intestinalis
0.0056	14	Psychrobacter sp. PRwf-1
0.0056	14	Oxalobacter formigenes OXCC13
0.0056	14	Lactobacillus casei str. Zhang
0.0056	14	Thermotoga neapolitana DSM 4359
0.0056	14	Synechococcus sp. CC9311
0.0056	14	Bacillus cereus SJ1
0.0056	14	Lactobacillus acidophilus NCFM
0.0056	14	Clostridium thermocellum JW20
0.0056	14	Phaeodactylum tricornutum CCAP 1055/1
0.0056	14	Burkholderia xenovorans LB400
0.0056	14	Saccharophagus degradans 2-40
0.0056	14	Rhizobium leguminosarum bv. viciae 3841
0.0056	14	Neisseria gonorrhoeae PID1
0.0056	14	Ruegeria pomeroyi DSS-3
0.0056	14	Streptococcus pneumoniae SP6-BS73
0.0056	14	Selenomonas sp. oral taxon 137 str. F0430
0.0056	14	Streptococcus suis SC84
0.0052	13	Cyanothece sp. ATCC 51142
0.0052	13	Polaribacter sp. MED152
0.0052	13	Mus musculus
0.0052	13	Bacillus atrophaeus 1942
0.0052	13	Pyrococcus horikoshii OT3
0.0052	13	Conexibacter woesei DSM 14684
0.0052	13	Desulfovibrio magneticus RS-1
0.0052	13	Bacillus thuringiensis serovar tochigiensis BGSC 4Y1
0.0052	13	Salinibacter ruber DSM 13855
0.0052	13	Enterococcus faecalis V583
0.0052	13	Herpetosiphon aurantiacus ATCC 23779
0.0052	13	Mycobacterium smegmatis str. MC2 155
0.0052	13	Schizosaccharomyces japonicus yFS275
0.0052	13	Shewanella loihica PV-4
0.0052	13	Salmonella enterica subsp. enterica serovar Typhi str. Ty2
0.0052	13	Bacillus pseudofirmus OF4
0.0052	13	Ammonifex degensii KC4
0.0052	13	Cryptosporidium parvum Iowa II
0.0052	13	Populus trichocarpa
0.0052	13	Escherichia sp. 3_2_53FAA
0.0052	13	Staphylococcus aureus subsp. aureus MW2
0.0052	13	Xylella fastidiosa Temecula1
0.0052	13	Actinomyces urogenitalis DSM 15434
0.0052	13	Streptomyces lividans TK24
0.0052	13	Francisella tularensis subsp. tularensis WY96-3418
0.0052	13	Staphylococcus aureus subsp. aureus COL
0.0052	13	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
0.0052	13	Clostridium thermocellum DSM 2360
0.0052	13	Clavibacter michiganensis subsp. michiganensis NCPPB 382
0.0052	13	Trichoplax adhaerens
0.0052	13	Streptomyces sp. ACTE
0.0052	13	Parvibaculum lavamentivorans DS-1
0.0052	13	Rhodopirellula baltica SH 1
0.0048	12	Desulfovibrio aespoeensis Aspo-2
0.0048	12	Lactobacillus coleohominis 101-4-CHN
0.0048	12	Chromohalobacter salexigens DSM 3043
0.0048	12	Bordetella pertussis Tohama I
0.0048	12	Synechococcus elongatus PCC 6301
0.0048	12	Shewanella frigidimarina NCIMB 400
0.0048	12	Nematostella vectensis
0.0048	12	Chlorobium phaeobacteroides BS1
0.0048	12	Allochromatium vinosum DSM 180
0.0048	12	Streptococcus pneumoniae SP23-BS72
0.0048	12	Streptococcus mitis ATCC 6249
0.0048	12	Chromobacterium violaceum ATCC 12472
0.0048	12	Bacillus megaterium DSM 319
0.0048	12	Methanospirillum hungatei JF-1
0.0048	12	Thiobacillus denitrificans ATCC 25259
0.0048	12	Cryptococcus neoformans var. neoformans B-3501A
0.0048	12	Actinomyces odontolyticus F0309
0.0048	12	Nitrosospira multiformis ATCC 25196
0.0048	12	Cyanothece sp. PCC 7425
0.0048	12	Bacillus thuringiensis serovar konkukian str. 97-27
0.0048	12	Thermococcus kodakarensis KOD1
0.0048	12	Listeria monocytogenes EGD-e
0.0048	12	Caenorhabditis briggsae
0.0048	12	Nitrosococcus halophilus Nc4
0.0048	12	Azoarcus sp. BH72
0.0048	12	Vibrio parahaemolyticus Peru-466
0.0048	12	Bifidobacterium bifidum S17
0.0044	11	Trypanosoma brucei TREU927
0.0044	11	Campylobacter lari RM2100
0.0044	11	Rickettsia rickettsii str. Iowa
0.0044	11	Methylobacterium nodulans ORS 2060
0.0044	11	Hahella chejuensis KCTC 2396
0.0044	11	Caldicellulosiruptor owensensis OL
0.0044	11	Rhodopseudomonas palustris CGA009
0.0044	11	Micromonospora sp. ATCC 39149
0.0044	11	Streptococcus pyogenes MGAS6180
0.0044	11	uncultured Termite group 1 bacterium phylotype Rs-D17
0.0044	11	Pedobacter saltans DSM 12145
0.0044	11	Magnetococcus sp. MC-1
0.0044	11	Erysipelothrix rhusiopathiae ATCC 19414
0.0044	11	Synechococcus sp. JA-3-3Ab
0.0044	11	Escherichia coli O157:H7 str. EC4024
0.0044	11	Methanosarcina mazei Go1
0.0044	11	Thermosynechococcus elongatus BP-1
0.0044	11	Candidatus Cloacamonas acidaminovorans
0.0044	11	Escherichia coli MS 45-1
0.0044	11	Enterococcus faecalis TX0109
0.0044	11	Acidovorax citrulli AAC00-1
0.0044	11	Yersinia pestis Antiqua
0.0044	11	Enterococcus faecium E1071
0.0044	11	Mycobacterium gilvum PYR-GCK
0.0044	11	Desulfobacterium autotrophicum HRM2
0.0044	11	Streptococcus oralis ATCC 35037
0.0044	11	Chlorobium limicola DSM 245
0.0044	11	Acetobacter pasteurianus IFO 3283-01
0.0044	11	Corynebacterium pseudotuberculosis FRC41
0.0044	11	Rhodomicrobium vannielii ATCC 17100
0.0044	11	Herbaspirillum seropedicae SmR1
0.0044	11	Streptococcus suis 05ZYH33
0.004	10	Bacillus thuringiensis IBL 4222
0.004	10	Caulobacter segnis ATCC 21756
0.004	10	Streptococcus pneumoniae CDC1873-00
0.004	10	Cronobacter sakazakii ATCC BAA-894
0.004	10	Bifidobacterium breve DSM 20213
0.004	10	Carnobacterium sp. AT7
0.004	10	Maritimibacter alkaliphilus HTCC2654
0.004	10	Ralstonia solanacearum GMI1000
0.004	10	Bacillus coagulans 36D1
0.004	10	Xenopus (Silurana) tropicalis
0.004	10	Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191
0.004	10	Enterococcus faecalis PC1.1
0.004	10	Acidothermus cellulolyticus 11B
0.004	10	Leptospira interrogans serovar Lai str. 56601
0.004	10	Bifidobacterium adolescentis L2-32
0.004	10	Acidiphilium cryptum JF-5
0.004	10	Rickettsia bellii OSU 85-389
0.004	10	Coprothermobacter proteolyticus DSM 5265
0.004	10	Aeromonas salmonicida subsp. salmonicida A449
0.004	10	Mycobacterium bovis BCG str. Tokyo 172
0.004	10	Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1
0.004	10	Chryseobacterium gleum ATCC 35910
0.004	10	Citrobacter koseri ATCC BAA-895
0.004	10	Prochlorococcus marinus str. MIT 9303
0.004	10	Brucella microti CCM 4915
0.004	10	Lactobacillus crispatus JV-V01
0.004	10	Sinorhizobium medicae WSM419
0.004	10	Shigella flexneri 2a str. 301
0.004	10	Nakamurella multipartita DSM 44233
0.004	10	Nitrosomonas eutropha C91
0.004	10	Aromatoleum aromaticum EbN1
0.004	10	Gluconobacter oxydans 621H
0.004	10	Ochrobactrum anthropi ATCC 49188
0.004	10	Pedobacter sp. BAL39
0.004	10	Bacillus amyloliquefaciens DSM7
0.004	10	Staphylococcus capitis SK14
0.004	10	Leuconostoc citreum KM20
0.004	10	Sulfurimonas denitrificans DSM 1251
0.004	10	Giardia lamblia ATCC 50803
0.004	10	Archaeoglobus profundus DSM 5631
0.004	10	Actinosynnema mirum DSM 43827
0.004	10	Serratia proteamaculans 568
0.004	10	Mycoplasma penetrans HF-2
0.004	10	Staphylococcus aureus RF122
0.004	10	Veillonella atypica ACS-134-V-Col7a
0.0036	9	Yersinia enterocolitica subsp. enterocolitica 8081
0.0036	9	Streptomyces avermitilis MA-4680
0.0036	9	Staphylococcus lugdunensis HKU09-01
0.0036	9	Staphylococcus carnosus subsp. carnosus TM300
0.0036	9	Edwardsiella ictaluri 93-146
0.0036	9	Thalassiosira pseudonana CCMP1335
0.0036	9	Candidatus Nitrospira defluvii
0.0036	9	Streptococcus uberis 0140J
0.0036	9	Renibacterium salmoninarum ATCC 33209
0.0036	9	Chloroherpeton thalassium ATCC 35110
0.0036	9	Postia placenta Mad-698-R
0.0036	9	Chlorobium ferrooxidans DSM 13031
0.0036	9	Kluyveromyces lactis NRRL Y-1140
0.0036	9	Methanohalobium evestigatum Z-7303
0.0036	9	Hyphomonas neptunium ATCC 15444
0.0036	9	Haemophilus parasuis SH0165
0.0036	9	Aminomonas paucivorans DSM 12260
0.0036	9	Chelativorans sp. BNC1
0.0036	9	Burkholderia cenocepacia HI2424
0.0036	9	Enterobacter cloacae SCF1
0.0036	9	Vibrio vulnificus YJ016
0.0036	9	Mesorhizobium opportunistum WSM2075
0.0036	9	Pseudomonas entomophila L48
0.0036	9	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130
0.0036	9	Actinomyces viscosus C505
0.0036	9	Vibrio harveyi ATCC BAA-1116
0.0036	9	Acidobacterium capsulatum ATCC 51196
0.0036	9	Apis mellifera
0.0036	9	Bifidobacterium gallicum DSM 20093
0.0036	9	Kangiella koreensis DSM 16069
0.0036	9	Citrobacter rodentium ICC168
0.0036	9	Capnocytophaga sputigena ATCC 33612
0.0036	9	Streptococcus pneumoniae SP18-BS74
0.0036	9	Alteromonas macleodii ATCC 27126
0.0036	9	Methanoplanus petrolearius DSM 11571
0.0036	9	Trichodesmium erythraeum IMS101
0.0036	9	Lactobacillus delbrueckii subsp. bulgaricus ND02
0.0036	9	Burkholderia ambifaria AMMD
0.0036	9	Dickeya dadantii Ech703
0.0036	9	Lyngbya sp. PCC 8106
0.0036	9	Photobacterium angustum S14
0.0036	9	Peptoniphilus duerdenii ATCC BAA-1640
0.0036	9	Fusobacterium gonidiaformans ATCC 25563
0.0036	9	Pseudomonas stutzeri A1501
0.0036	9	Mycobacterium vanbaalenii PYR-1
0.0036	9	Methylocella silvestris BL2
0.0036	9	Ahrensia sp. R2A130
0.0036	9	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
0.0036	9	marine gamma proteobacterium HTCC2143
0.0036	9	Streptococcus equi subsp. zooepidemicus
0.0032	8	Frankia alni ACN14a
0.0032	8	Geobacter sp. M21
0.0032	8	Thermotoga sp. RQ2
0.0032	8	Corynebacterium kroppenstedtii DSM 44385
0.0032	8	Prochlorococcus marinus subsp. pastoris str. CCMP1986
0.0032	8	Xanthomonas campestris pv. campestris str. 8004
0.0032	8	Mesoplasma florum L1
0.0032	8	Listeria monocytogenes serotype 4b str. F2365
0.0032	8	Campylobacter hominis ATCC BAA-381
0.0032	8	Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- str. RSK2980
0.0032	8	Calditerrivibrio nitroreducens DSM 19672
0.0032	8	Frankia sp. CcI3
0.0032	8	Haemophilus influenzae 86-028NP
0.0032	8	Granulicatella adiacens ATCC 49175
0.0032	8	Nitratiruptor sp. SB155-2
0.0032	8	Streptococcus sp. M143
0.0032	8	Methylobacterium extorquens DM4
0.0032	8	Nitrosopumilus maritimus SCM1
0.0032	8	Jonesia denitrificans DSM 20603
0.0032	8	Pseudomonas aeruginosa PAO1
0.0032	8	Thermococcus barophilus MP
0.0032	8	Xanthomonas campestris pv. vesicatoria str. 85-10
0.0032	8	Bradyrhizobium sp. BTAi1
0.0032	8	Physcomitrella patens subsp. patens
0.0032	8	Sanguibacter keddieii DSM 10542
0.0032	8	Lactobacillus rhamnosus GG
0.0032	8	Persephonella marina EX-H1
0.0032	8	Methylibium petroleiphilum PM1
0.0032	8	Anabaena variabilis ATCC 29413
0.0032	8	Chlorobium phaeobacteroides DSM 266
0.0032	8	Veillonella sp. oral taxon 158 str. F0412
0.0032	8	Streptococcus sanguinis ATCC 49296
0.0032	8	Loa loa
0.0032	8	Neisseria gonorrhoeae PID332
0.0032	8	Halorhodospira halophila SL1
0.0032	8	Moniliophthora perniciosa FA553
0.0032	8	Prosthecochloris aestuarii DSM 271
0.0032	8	Agrobacterium tumefaciens str. C58
0.0032	8	Ralstonia eutropha JMP134
0.0032	8	Shewanella sp. MR-7
0.0032	8	Bacteroides xylanisolvens SD CC 1b
0.0032	8	Thermomicrobium roseum DSM 5159
0.0032	8	Bacillus cereus Rock3-44
0.0032	8	Streptococcus infantarius subsp. infantarius ATCC BAA-102
0.0032	8	Streptococcus anginosus F0211
0.0032	8	Listeria monocytogenes HPB2262
0.0032	8	Magnaporthe oryzae 70-15
0.0032	8	Thermus thermophilus HB27
0.0032	8	Scheffersomyces stipitis CBS 6054
0.0032	8	Crocosphaera watsonii WH 8501
0.0032	8	Oceanithermus profundus DSM 14977
0.0032	8	Nitrosococcus watsoni C-113
0.0032	8	Stackebrandtia nassauensis DSM 44728
0.0032	8	Paracoccus denitrificans PD1222
0.0032	8	Lactobacillus rhamnosus LMS2-1
0.0032	8	Acidovorax sp. JS42
0.0032	8	Staphylococcus aureus subsp. aureus USA300_TCH1516
0.0032	8	Streptococcus pneumoniae Hungary19A-6
0.0032	8	Marinobacter aquaeolei VT8
0.0032	8	Pectobacterium atrosepticum SCRI1043
0.0028	7	Rhodopseudomonas palustris HaA2
0.0028	7	Burkholderia ambifaria MC40-6
0.0028	7	bacterium Ellin514
0.0028	7	Aliivibrio salmonicida LFI1238
0.0028	7	Pseudomonas mendocina ymp
0.0028	7	Granulibacter bethesdensis CGDNIH1
0.0028	7	Caulobacter sp. K31
0.0028	7	Clostridium perfringens NCTC 8239
0.0028	7	Escherichia coli H736
0.0028	7	Cyanothece sp. PCC 7822
0.0028	7	Archaeoglobus fulgidus DSM 4304
0.0028	7	Beutenbergia cavernae DSM 12333
0.0028	7	Hydrogenobaculum sp. Y04AAS1
0.0028	7	Selenomonas sp. oral taxon 149 str. 67H29BP
0.0028	7	Methanocaldococcus jannaschii DSM 2661
0.0028	7	Streptomyces sp. AA4
0.0028	7	Polaromonas naphthalenivorans CJ2
0.0028	7	Vibrio fischeri MJ11
0.0028	7	Porphyromonas asaccharolytica PR426713P-I
0.0028	7	Phenylobacterium zucineum HLK1
0.0028	7	Drosophila simulans
0.0028	7	Lactobacillus plantarum subsp. plantarum ST-III
0.0028	7	Vibrio splendidus 12B01
0.0028	7	Desulfurivibrio alkaliphilus AHT2
0.0028	7	Corynebacterium aurimucosum ATCC 700975
0.0028	7	Methanocella paludicola SANAE
0.0028	7	Klebsiella sp. 1_1_55
0.0028	7	Thermotogales bacterium mesG1.Ag.4.2
0.0028	7	Sphingomonas wittichii RW1
0.0028	7	Pseudomonas syringae pv. tomato NCPPB 1108
0.0028	7	Streptococcus pneumoniae AP200
0.0028	7	Blastopirellula marina DSM 3645
0.0028	7	Campylobacter jejuni subsp. jejuni 260.94
0.0028	7	Desulfovibrio sp. FW1012B
0.0028	7	Acaryochloris marina MBIC11017
0.0028	7	Lactobacillus casei ATCC 334
0.0028	7	Gardnerella vaginalis ATCC 14019
0.0028	7	Rhodobacter sphaeroides ATCC 17025
0.0028	7	Rhodobacter sphaeroides ATCC 17029
0.0028	7	alpha proteobacterium BAL199
0.0028	7	Streptococcus pneumoniae 70585
0.0028	7	Acidobacterium sp. MP5ACTX9
0.0028	7	Proteus mirabilis HI4320
0.0028	7	Truepera radiovictrix DSM 17093
0.0028	7	Bacillus cereus AH820
0.0028	7	Ashbya gossypii ATCC 10895
0.0028	7	Lutiella nitroferrum 2002
0.0028	7	Bifidobacterium pseudocatenulatum DSM 20438
0.0028	7	Clostridium botulinum E1 str. 'BoNT E Beluga'
0.0028	7	Dialister microaerophilus UPII 345-E
0.0028	7	Shewanella pealeana ATCC 700345
0.0028	7	Caldicellulosiruptor lactoaceticus 6A
0.0028	7	Anaeromyxobacter dehalogenans 2CP-1
0.0028	7	Chthoniobacter flavus Ellin428
0.0028	7	Atopobium vaginae PB189-T1-4
0.0028	7	Pirellula staleyi DSM 6068
0.0028	7	Lactobacillus ultunensis DSM 16047
0.0028	7	Planctomyces brasiliensis DSM 5305
0.0028	7	uncultured methanogenic archaeon RC-I
0.0028	7	Escherichia coli 55989
0.0024	6	Hydra magnipapillata
0.0024	6	Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. CVM23701
0.0024	6	Corynebacterium glutamicum R
0.0024	6	Streptococcus pyogenes MGAS5005
0.0024	6	Enterococcus faecalis T8
0.0024	6	Pasteurella dagmatis ATCC 43325
0.0024	6	Listeria seeligeri serovar 1/2b str. SLCC3954
0.0024	6	Pseudomonas fluorescens Pf-5
0.0024	6	Neisseria meningitidis MC58
0.0024	6	Alicyclobacillus acidocaldarius LAA1
0.0024	6	Psychrobacter cryohalolentis K5
0.0024	6	Candidatus Methanoregula boonei 6A8
0.0024	6	Campylobacter fetus subsp. fetus 82-40
0.0024	6	Helicobacter mustelae 12198
0.0024	6	Anaeromyxobacter sp. K
0.0024	6	Arcobacter butzleri RM4018
0.0024	6	Sorghum bicolor
0.0024	6	Leifsonia xyli subsp. xyli str. CTCB07
0.0024	6	Rhodococcus opacus B4
0.0024	6	Kribbella flavida DSM 17836
0.0024	6	Erythrobacter sp. NAP1
0.0024	6	Cellvibrio japonicus Ueda107
0.0024	6	Aedes aegypti
0.0024	6	Haemophilus somnus 129PT
0.0024	6	Listeria monocytogenes J2818
0.0024	6	Yersinia pestis KIM 10
0.0024	6	Asticcacaulis excentricus CB 48
0.0024	6	Streptococcus pyogenes M1 GAS
0.0024	6	Gallus gallus
0.0024	6	Leptothrix cholodnii SP-6
0.0024	6	Nitrosomonas europaea ATCC 19718
0.0024	6	Achromobacter piechaudii ATCC 43553
0.0024	6	Shewanella halifaxensis HAW-EB4
0.0024	6	Escherichia coli ATCC 8739
0.0024	6	Ostreococcus tauri
0.0024	6	Chlamydophila caviae GPIC
0.0024	6	Caldicellulosiruptor kronotskyensis 2002
0.0024	6	Streptomyces hygroscopicus ATCC 53653
0.0024	6	Acidovorax avenae subsp. avenae ATCC 19860
0.0024	6	Dehalococcoides ethenogenes 195
0.0024	6	Brucella canis ATCC 23365
0.0024	6	Anaerococcus vaginalis ATCC 51170
0.0024	6	Mucilaginibacter paludis DSM 18603
0.0024	6	Sphingobacterium spiritivorum ATCC 33861
0.0024	6	Streptococcus agalactiae 2603V/R
0.0024	6	Enterococcus faecalis TX0104
0.0024	6	Streptococcus mitis SK321
0.0024	6	unidentified eubacterium SCB49
0.0024	6	Streptomyces violaceusniger Tu 4113
0.0024	6	Neisseria meningitidis ATCC 13091
0.0024	6	Lentisphaera araneosa HTCC2155
0.0024	6	Clostridium botulinum NCTC 2916
0.0024	6	Lactococcus lactis subsp. cremoris SK11
0.0024	6	Penicillium chrysogenum Wisconsin 54-1255
0.0024	6	Lactobacillus hilgardii ATCC 8290
0.0024	6	Waddlia chondrophila WSU 86-1044
0.0024	6	Lodderomyces elongisporus NRRL YB-4239
0.0024	6	Bacillus cereus R309803
0.0024	6	Actinomyces sp. oral taxon 848 str. F0332
0.0024	6	Babesia bovis T2Bo
0.0024	6	Corynebacterium jeikeium K411
0.0024	6	Mycobacterium marinum M
0.0024	6	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67
0.0024	6	Lactobacillus iners LEAF 3008A-a
0.0024	6	Campylobacter upsaliensis JV21
0.0024	6	Helicobacter pylori 26695
0.0024	6	Prevotella amnii CRIS 21A-A
0.0024	6	Pectobacterium carotovorum subsp. carotovorum PC1
0.0024	6	Streptococcus agalactiae CJB111
0.0024	6	Verminephrobacter eiseniae EF01-2
0.0024	6	Methylobacterium populi BJ001
0.0024	6	Pseudomonas putida F1
0.0024	6	Streptococcus pneumoniae SP195
0.002	5	Laribacter hongkongensis HLHK9
0.002	5	Lactococcus lactis subsp. lactis KF147
0.002	5	Enterococcus faecalis TX2134
0.002	5	Enterococcus casseliflavus EC10
0.002	5	Methylobacterium chloromethanicum CM4
0.002	5	Shewanella woodyi ATCC 51908
0.002	5	Streptococcus sp. oral taxon 071 str. 73H25AP
0.002	5	Streptomyces albus J1074
0.002	5	Candidatus Protochlamydia amoebophila UWE25
0.002	5	Enterococcus casseliflavus EC20
0.002	5	Roseibium sp. TrichSKD4
0.002	5	Erythrobacter litoralis HTCC2594
0.002	5	Flavobacteria bacterium BAL38
0.002	5	Oxalobacter formigenes HOxBLS
0.002	5	Borrelia afzelii PKo
0.002	5	Klebsiella variicola At-22
0.002	5	Candidatus Accumulibacter phosphatis clade IIA str. UW-1
0.002	5	Bacillus cereus G9241
0.002	5	Enterobacter sp. 638
0.002	5	Neisseria cinerea ATCC 14685
0.002	5	Staphylococcus aureus subsp. aureus MN8
0.002	5	Chlorobium tepidum TLS
0.002	5	Aggregatibacter aphrophilus NJ8700
0.002	5	Labrenzia aggregata IAM 12614
0.002	5	Idiomarina loihiensis L2TR
0.002	5	Anaeromyxobacter sp. Fw109-5
0.002	5	Pyrococcus abyssi GE5
0.002	5	Canis lupus familiaris
0.002	5	Brachybacterium faecium DSM 4810
0.002	5	Anaerococcus hydrogenalis DSM 7454
0.002	5	Bacillus cereus BGSC 6E1
0.002	5	Streptococcus agalactiae A909
0.002	5	Beijerinckia indica subsp. indica ATCC 9039
0.002	5	Pectobacterium carotovorum subsp. brasiliensis PBR1692
0.002	5	Pseudomonas putida GB-1
0.002	5	Jonquetella anthropi E3_33 E1
0.002	5	Pseudovibrio sp. JE062
0.002	5	Streptococcus pneumoniae CDC0288-04
0.002	5	Methanococcus maripaludis C7
0.002	5	Shewanella baltica OS155
