Number of total reads: 		250000
Number of unique reads: 	2159
Number of unique transcripts: 	2159
Number of unique organisms: 	344

Percent of total	Count	Species name
0.02	50	serine hydroxymethyltransferase	002b4c24705dee728ad071d84f8ce75e
0.02	50	transcriptional regulatory protein CutR	037ee933b66960f12b187e8ba6cbd28a
0.0196	49	aminobenzoyl-glutamate utilization protein B	036f96fc0b1ec2fe9ac469af6482ef69
0.0196	49	protein-export membrane protein SecD	01313730249f1f7322b2c41fc1a26e53
0.0196	49	50S ribosomal protein L1E (L4P)	00b9e146c2cf74bcd609606c14ec7806
0.0196	49	glutamine ABC transporte	033d0109218e107cf5d5a1ac1382b3b3
0.0196	49	arginyl-tRNA synthetase	00b2f54396db1da34abf0875a059ca83
0.0196	49	thioredoxin	006d7fa42d153a65b8dd24e3a1a1c8ca
0.0192	48	penicillin-binding protein 1A	01f9e3a306127a3234ceaeec5683d40c
0.0192	48	seryl-tRNA synthetase	009bfef591c184abb26c5b948dd44790
0.0192	48	Formiminotransferase-cyclodeaminase	00ae30225367a462b860f7007ec6869c
0.0192	48	octaprenyl-diphosphate synthase	000d5d1425d664d78941c8812a509f5c
0.0192	48	toxic anion resistance family protein	02ac6da1095ea4cda9f44db893ccd9ba
0.0192	48	dihydrodipicolinate reductase	01cfb3cbba36d10d8b0d6b3300196b31
0.0188	47	glutamyl-tRNA synthetase	00aa0585e470abbbef93c37210592692
0.0188	47	malonyl CoA-acyl carrier protein transacylase	00f66e5110795f42a1461fbaaa2e65b5
0.0188	47	oligopeptide/dipeptide ABC transporte	00b23f23b2a3174dac10cefa8160b54d
0.0188	47	conserved domain protein	016fe5c45a8e362dcca40f36d54062e2
0.0188	47	YjeF protein	023ce4a72f4154d4d53029d7ebd5649e
0.0184	46	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	0319faca785821a877be6876c38d92be
0.0184	46	RNA polymerase ECF-type sigma factor	0110c994e7400b5ee12be5b1d06777a7
0.0184	46	mannosyltransferase B	0242957afeeb963ff463947563127902
0.0184	46	transketolase subunit B	020ef29a1e203341de692011b4b077be
0.0184	46	MTA/SAH nucleosidase	011de4c981709e36c9c13a308ea6718d
0.0184	46	phosphatidate cytidylyltransferase	0054fbcf3a9a36b97db7c278ccdcaf0a
0.0184	46	glycoside hydrolase family 28	0334740cf3655db5da4a91a99487406b
0.0184	46	glucokinas	012d3ceecb099df96debc3eb2de206e2
0.0184	46	two component transcriptional regulato	0143b19f7f338b27b88b4f918da9f36d
0.0184	46	cysteine desulfurase	0001af578537a285348cee7fd91ec29c
0.018	45	beta-N-acetylhexosaminidase	0313ac0629b6e822eb18f872e4e4f068
0.018	45	basic membrane lipoprotein	00b55799977573d1e91f50fddec235bc
0.018	45	putative aminotransferase	002a61a6f30843cfa20885ca3dfc4492
0.018	45	cytidine deaminase	0127e21f4eb29c931fe476166b9e18ab
0.018	45	MazG family protein	02b7e1c20bf17bcf43405cc823397382
0.018	45	Formate-tetrahydrofolate ligase	00c5f3d406f9f111327243ef344f4325
0.018	45	ribosome biogenesis GTP-binding protein YsxC	00828061f4dc2894221bf883944244a2
0.018	45	L-fucose isomerase related protein	015e9178f6dc34f0afb74ac7853ded0f
0.0176	44	protein of unknown function DUF711	0280b5a7d6c6224ad5d0c19cf40783df
0.0176	44	D-tyrosyl-tRNA(Tyr) deacylase	01fb92f708902907016eb31ed850719b
0.0176	44	methyl-accepting chemotaxis protein signaling domain protein	009c47065775a00c9d4884290a21a8c0
0.0176	44	putative galactosamine-containing minor teichoic acid biosynthesis protein	026127d57e893b64aee35ef3cd87dc6b
0.0172	43	glutamate dehydrogenase	008b46117b52d3dbfeaa265e0754b6d1
0.0172	43	amidohydrolase	000d9eb02977a6bf30bdd0ffcd8ae05f
0.0172	43	co-chaperonin GroES	019e40440bc823a9a43893287e2923f0
0.0172	43	30S ribosomal protein S2	0037990d741c7cf3f4ecddccf6c51781
0.0172	43	cation (Mg/Ni uptake) transport ATPas	0168f7119bb09de59df5394cb13d12d4
0.0168	42	SAM-dependent methyltransferase	02f6dd848fab4733fffe51a9a4b338b3
0.0168	42	iojap-like protein	01a61b9f821c603717be38f560ee2b1e
0.0168	42	peptidas	01125ae545d5bdfdbe5bea10209ec3b3
0.0164	41	phosphoglycolate phosphatase	0057e38461e976161ab64901bcb7462d
0.0164	41	NADH:flavin oxidoreductase/NADH oxidase	011eca5e46905ec30799f0e6cc6000e7
0.0164	41	chaperone protein DnaJ	004be14184b0008efbba658627778fcb
0.0164	41	putative hexulose-6-phosphate isomerase	011bb117364ea19471ae5645ae82f89d
0.016	40	hemolysin erythrocyte lysis protein 2	003257a035c215541ac5b783507136ea
0.016	40	endo-	02df0920a79b9acbb8ecd742ff1522db
0.016	40	excinuclease ATPase subunit	002bf2139d5d27e332e2b374f11396d8
0.016	40	transferRNA-Gln synthetase	01bad03c29d7e6e37d9e960733131280
0.016	40	isocitrate dehydrogenase	008a435fcd04dd23984627f7b0a7062e
0.016	40	bacterial microcompartments protein	011c9adf1af31e15e6c9ce20bbda6b23
0.016	40	urease accessory protein UreG	02b2cc02974c65d4bbd344ec2d48d8b0
0.0156	39	D-glucose-1-phosphate thymidylyltransferase	001dc09b4faddffbb118db1532e62e87
0.0156	39	(R)-2-hydroxyacid dehydrogenase	013193d06bc39463639281cbf79ab2bc
0.0156	39	aspartyl-tRNA synthetase	0016a3c51e68e15daf4a7a85ebe0bc1a
0.0152	38		005c4fc0e0af7b1e4b47898b991e32d5
0.0152	38	exodeoxyribonuclease III Xth	01758d4ee5d78c8206f52b46717e8e51
0.0152	38	phosphate ABC transporter substrate-binding protei	00591cf9ccaadfe764789f7a0e78976c
0.0152	38	ribosomal protein S9	02c4d4a29cdc98f890afe6030c223bd6
0.0152	38	protein of unknown function DUF28	02632a400691b4820354fcfca9124b37
0.0152	38	GDP-mannose	035a08fe58a35dc36bb2a1424a6d2f3e
0.0152	38	LeuA	00f2c5e958ca754137b94510728bb291
0.0152	38	putative peptidase inhibito	01bc25837b68a673fee395ee08042c86
0.0148	37	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	00ebb779514583fbf95ff629c612fc5e
0.0148	37	protein of unknown function DUF199	01438b3bdc4fea3bff8e33f869f9de6c
0.0148	37	transcriptional regulator of arginine metabolism	0219621c06b6c5c2f3eaf1ad458876cd
0.0148	37	excinuclease ABC subunit C	00d64ebecd45cd1245646bbaa492e7c7
0.0144	36	excinuclease AB	01ac318776db4838b7544a214f8816ce
0.0144	36	50S ribosomal protein L35	0357d2743119483710e00fc272d80eef
0.0144	36	flagellar hook capping protein	00ae95220acb2c32ea78a51879ef7857
0.0144	36	long-chain-fatty-acid-CoA ligase	025d6ca34eb85756afaef9895793520e
0.0144	36	dihydrodipicolinate synthase	014b74c93a2ae5800a03d328b04fb942
0.014	35	membrane dipeptidase	019ef4418adf3ee953597690d449875d
0.014	35	GGDEF/EAL/PAS-domain-containing protein	00d85140650fefb2e147971250d8b2e1
0.014	35	leucyl-tRNA synthetase	0218f46b860936e26ac134f3dfb21b97
0.014	35	F0F1 ATP synthase subunit C	0332afef0f9c7d47f85abdd3148c4457
0.0136	34	inosine 5''-monophosphate dehydrogenase	013f68571236fb0de458cffbf5c1046f
0.0136	34	DNA topoisomerase I	00347fc6a3a8be3e4c6e0a18ea128db5
0.0136	34	2-alkenal reductase	0071490fe65f972e0f96fca2ab4a92c5
0.0136	34	carbamoyl-phosphate synthas	026ea8ba446b32b417ad35e685e8065b
0.0132	33	putative PA domain protein	027e42bc25fd671459a4a0a447f49853
0.0132	33	phosphopyruvate hydratase	0118d36bc649d13bc6f7432d278034db
0.0132	33	1-phosphofructokinase	00614de26d52c28beab6be4a37c0318a
0.0132	33	50S ribosomal protein l11	02a63de8567e50f600942e3dedde8ba6
0.0132	33	ATP-dependent protease La	00bc52da22c8d3d93ce66db3c1672f17
0.0132	33	RNA binding metal dependent phosphohydrolase	012fc90d9fbc57b960e6cd763158411a
0.0132	33	selenium-dependent molybdenum hydroxylase 1	005034fb157a265262a876430fab53c9
0.0132	33	translation initiation factor IF-3	001cb4940321f5eed1120730dad7d01b
0.0128	32	molybdopterin biosynthesis mog protein	029a93c3dd3fbd67849d470aa02561cd
0.0128	32	phosphonopyruvate decarboxylase	0336db4472fcfb6cb88a8060a9e9748c
0.0128	32	dehydrogenase	00e38b1f420a5b7a064e9f4a8df6d96b
0.0128	32	ribonucleoside-diphosphate reductas	01ed00cccb61fabd90ff422e87f8b8ae
0.0128	32	gamma-glutamyl phosphate reductase	00d828c6c5a00a20b91b3b82775622fc
0.0128	32	inner membrane protein	004a38ac858daa8e4957ffc2ac34f70e
0.0124	31	putative two-component system response regulator	01734a6b8dc889553f24c247a16a71ac
0.0124	31	acetylornithine and succinylornithine aminotransferase	00c1df4a9cd5aa9cd48b2cf700daa317
0.0124	31	ribosomal protein S3	015d00c9b7f7f2897a9ebd700c9a9d69
0.0124	31	3-oxoacyl-[acyl-carrier-protein] synthase	037b3f01bffd944d952a0a1a8dbd58b8
0.012	30	predicted redox protei	0283b9cc01b46c07abbc680cf319899b
0.012	30	anaerobic ribonucleoside-triphosphate reductase activating protein	0056440a4fc687fb624a5bfc3a1970ab
0.012	30	phosphoenolpyruvate carboxykinase	02a0e0a92d612a8da52c0d63b84f1597
0.012	30	Polyribonucleotide nucleotidyltransferase	01854a0d70ac46c9958ff72133471726
0.0116	29	erythronate-4-phosphate dehydrogenase	02c55843d6b880b2b01a051159af7d1b
0.0116	29	ABC transporter substrate-binding protein	00ad1b60b326bf1a73634d04fc08e8d9
0.0116	29	transketolas	00019f9ee2a11280e800d5016c132e3b
0.0116	29	protein of unknown function DUF819	0051e5cb9f300ae52c28e1d1b4fa7bde
0.0116	29	carbon starvation regulatory protein	0279a2ffa012913c13e207076dc9be08
0.0116	29	twitching motility protein PilT	00a1f23b63f00fab404b13241fd7579d
0.0116	29	serine/threonine protein kinase	004dbe7bfc4cad17b23d7e488bb7215f
0.0116	29	putative DNA-binding response regulator	00b2d30d1393b400f40beb44e2ec8d47
0.0116	29	rpmc	029082083f4745e17339be7e2d916be3
0.0116	29	isoleucyl-tRNA synthetase	00605d421f927691dcc44ed86ae472d9
0.0116	29	peptidase S8/S53 subtilisin kexin sedolisin	00651cd642219f9ce3c4dacc60ebc05c
0.0112	28	chaperonin cpn10	01eb8042b4af88ced000599476c23a5e
0.0112	28	beta-lactamase	002e512759f7ec929de74d26b46afc32
0.0112	28	putative beta-galactosidase	005540df473260142da4af6cc6c10460
0.0112	28	DNA translocase FtsK	001df863ec81a6d3cf1958618c491e4d
0.0112	28	fermentative D-lactate dehydrogenas	035d31818ee331523ed89644e47d97dc
0.0108	27	phosphoglucosamine mutase	0138890b039cc121d67b245cab178774
0.0108	27	coenzyme F390 synthetase	026338dc5ab9d06f91d99c2cd7eb814b
0.0108	27	heat shock protein 90	023da97850243f8595802e5e7d3c5f3e
0.0108	27	glycosyltransferase	022072ff3f02cf5b617a0d34fd4116d4
0.0108	27	cystine transport ATP-binding protein	02d748b8b78c2744ff36f139c924081f
0.0108	27	C4-dicarboxylate transporter/malic acid transport protein	027544cf30220c7fac4fe4fe19affe2e
0.0108	27	pyruvate formate-lyase	02341b2372b03e33c02e8745a1c6abf8
0.0108	27	preprotein translocase subunit SecD	00d365eacf8a39b9b92a82c66d05b886
0.0108	27	recombinase	0206cece4ea25a2839840039e55e7b4f
0.0108	27	ABC transporter related protein	00b7445c5491ee95d0f8165b0623f328
0.0108	27	multi-drug resistance efflux pump	002090e176f85877f835fbc55687ef02
0.0108	27	rfaE bifunctional protein	0312fdbe7812b0f5ae5b021b9b4eff33
0.0108	27	GTP pyrophosphokinase	003e249bb9a76e4b663b8799dba7bb0e
0.0108	27	L-lactate dehydrogenase	033c8037dfdb650079ea1d3ca747e05f
0.0108	27	glycogen debranching enzyme GlgX	019f157816847cccbf7cf55ad5dd5b46
0.0108	27	threonine synthase	01aea97055d229231bca549d24e2e4fd
0.0104	26	sensor histidine kinase	03214e0b84b8707373217e6f3d51e42c
0.0104	26	lysine--tRNA ligase	00fa75ca56492c45cf673b38678b1a7c
0.0104	26	regulator of sorbitol operon	01efc7f4cd31e46742f4c17427bd990c
0.0104	26	putative outer membrane protein	014b3bb10f740984953bbd69d9a96df9
0.0104	26	Na+-linked D-alanine glycine permease	0199eb2ab804480416a4d8da7d8056e2
0.0104	26	putative monovalent cation/H+ antiporter subunit D	0230cec103dafeb8097501f9795cea0a
0.0104	26	aconitate hydratase	0343b7c29900dff38ad7a08313bda19e
0.0104	26	lactoylglutathione lyase	0294d16f8707b2c8ce11eb64ec232824
0.0104	26	DNA-directed RNA polymeras	00c0501ddb472bd6a3054ac720fed9da
0.0104	26	transcription elongation factor greA	01cf73128eddc5b2203e3c29b6229ac1
0.0104	26	valyl-tRNA synthetase	007e887033256383fa0ea2e7b2d5d6b8
0.0104	26	oxidoreductase domain protein	00874aa52f9b0a5e9753f59d677477d2
0.0104	26	methyltransferase	011e6dfc305cabebece972a03b9a4380
0.0104	26	flagellar motor switch protein G	01a76ba1d35872990ee7bf63e08fb120
0.0104	26	phosphoserine aminotransferase	017d188dd7bb8164b4cb6539f167f567
0.0104	26	beta galactosidase small chain	0094c9f8d2370aa9520c4da20b997842
0.01	25	Sua5/YciO/YrdC/YwlC family protein	017d0ec91a4e2816ef00b0d7a8c3d3d9
0.01	25	putative transcriptional regulato	02f208bb7cab06a0b6762d1d847d4b63
0.01	25	dihydroxy-acid dehydratase	00001a757949ba4df5f1a9f8f6ba6c09
0.01	25	N-acetylglucosamine-6-phosphate deacetylase	03769582e6809e8105b912d1132a9702
0.01	25	chromosome segregation protein SMC	0188d8cdc85911f4be9402048deac049
0.01	25	RNA polymerase essential primary sigma 70 factor	033b4f42976b1eb3467d46b36246dc52
0.01	25	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	017a3d7c8030da1c18f4443f48d46e46
0.01	25	excinuclease ABC subunit A	02477d1b251dc03739fa2ec196611ffb
0.01	25	thioesterase superfamily protein	005c8742be53115e8a081114b26fc7be
0.01	25	thioredoxin reductase	002930cc54fad1f5de8ca8305b772dd8
0.0096	24	putative transcriptional regulator	0023bed7eb65251af04a6ab17ef06272
0.0096	24	aspartate transcarbamylase regulatory subunit	0212e5c6bf92a3411bc7a43b3a66b117
0.0096	24	putative 8-amino-7-oxononanoate synthase	035b3540845c5d60cfc4b3f803e4c383
0.0096	24	glycerol kinase	01f239c07fdb73d5a74e895b9b726113
0.0096	24	autoinducer-2 (AI-2) kinase	02249b8813c7112bdd2d055c533cdfe4
0.0096	24	ketose-bisphosphate aldolase class-II	0076d61a7de0d88aface8ad717b88bce
0.0096	24	deoxyribose-phosphate aldolase	01c02be6f2ebc810ad7a9b6df901aa95
0.0096	24	two component system response regulator	0157f6aaaf1b60af639386e22956a2bc
0.0096	24	Thioredoxin 1	018dae7cea3c105dc7138dd97be261af
0.0096	24	rod shape determining protein RodA	00a3b44d47e7fa9cd411e4dcfc91e74c
0.0092	23	transglutaminase domain protein	002c7544328c206efcbf1ab19daf8181
0.0092	23	UDP-glucose 4-epimerase	000a26c797b854874ec9ae28f6b10b7f
0.0092	23	MutT/nudix family protein	00e2379269baaee2eaa5fd89d91b0af0
0.0092	23	Radical SAM domain protein	01de0c7b4b6662a019eae9f9bba01810
0.0092	23	nuclease-related domain protein	00d4fd39762c043f99bf3e5b154c11ef
0.0092	23	peptidase T	0056c00ddfcc3ec3c60ae301d9311872
0.0092	23	peptidase S24-like protein	034b542fd8ad3d65b9a28cbfb16f37b1
0.0092	23	ATP-dependent DNA helicase RecG	0003532c6c13db2d6a6834ce10cee43a
0.0088	22	phosphotransferase system PTS sorbose-specific IIC subunit	024d06027ab8cf3eb12a77e03743a045
0.0088	22	ribosomal protein S16	00c078f09b63df342eb9c479cc9d4e1e
0.0088	22	conserved hypothetical protein TIGR00250	007ac24ac92ba34b977738758b10e0a5
0.0088	22	xanthine/uracil permease family protein	0286afda62eb41e8588d7c29040ad7c4
0.0088	22	peptidase M42 family protein	02ed84cfeb02edbe59dde7c30aa99457
0.0088	22	ABC transporter-related protein	009ac618b963684a989312876257445e
0.0088	22	Fe-S oxidoreductase	0011510536deb4868f3e3081d005d38c
0.0088	22	DNA-directed RNA polymerase subunit beta	009438f62418fc0aecfa20dc6cc6c16d
0.0088	22	30S ribosomal protein S5	01b17987e0c6ec52ec2bf3d3bf73d786
0.0088	22	lysyl-tRNA synthetase	00170c88858da03a3a9d972f912df7f8
0.0088	22	orotidine 5''-phosphate decarboxylase	0256fcd2871e16132f8f824f6d3e041c
0.0088	22	DegV family protein	003e23b46cd4eff37b6de9def29c9eff
0.0088	22	50S ribosomal protein L22P	033c3e0cef5f333f8aa36890ee90a99d
0.0088	22	gamma-aminobutyric acid receptor subunit epsilon	0076a4b8490996d9297d3cdb9ef88853
0.0088	22	putative ABC transporter ATP-binding protein	00abf5cdad767039465e8cf68695ec2b
0.0088	22	cell division protein FtsZ	00b7a55eb65d0ede7ff482e08f26589b
0.0088	22	heavy metal transport/detoxification protein	00cdf19b84252be92ae35c067fc49ee8
0.0088	22	methionine synthase	028cb60dfe7db24debe87fc08a32c1ce
0.0084	21	imidazole glycerol phosphate synthase subunit HisF	009dc548439fd3481691fb1842a9547b
0.0084	21	RNA methyltransferas	00ddaaa62140dbb485c0a8f46df37943
0.0084	21	peptidase S1 and S6 chymotrypsin/Hap	0118a57ff1886bf7086047d4c1391a39
0.0084	21	spermidine/putrescine transport ATP-binding protein pota	00fe15bf88c0c0546478d850de65edb3
0.0084	21	Alpha-mannosidase	02f11e40a991cae2b73ce48c32598ab2
0.0084	21	vancomycin resistance protein	0063a0ca92c3d8547ecfaf203143e057
0.0084	21	Transketolase domain protein	0179f8820d1904ae5c4861862d54b984
0.0084	21	TonB-dependent outer membrane receptor protein	0171804682b4e92672ad0b5b01795752
0.0084	21	glycyl-tRNA synthetase subunit alpha	01168a85a24519db8d306096efad5ae8
0.0084	21	biotin synthase	01fa3066b1aa82aa768108ee3d76102d
0.0084	21	putative amidohydrolase	024e77ab67af9402d1dc40d8c8e34fc4
0.0084	21	Aldose 1-epimerase	002eaad20abcd986d5cc431987b8a70c
0.0084	21	cytochrome c552	001c0f7d5aa6d6aa54e39224a52c8240
0.0084	21	hydrolase	02ce0b2f39378f6d1bd5e6081f16019b
0.008	20	cell division protein MraZ	0206ae3b40494a6826d9317652a8b413
0.008	20	ribosomal protein S4	0003eb112220a40b705761f16652321d
0.008	20	putative integral membrane protein	027cfd2e0b299849c770c60eb735eb61
0.008	20	radical SAM enzym	00bfd5d2e12bb1575ae963a61d05b8af
0.008	20	glycogen synthase	005cf32b4bf3bcc26592879cfa9f6d08
0.008	20	formate-tetrahydrofolate ligase FTHFS	028a295d1f6a32b503567cb2fa2b2b4b
0.008	20	stage V sporulation protein B	00889d9ef9052113fa1194ffe5f5af86
0.008	20	transcription elongation factor GreA	012a78151c65d36f5f5fde8ab61012f8
0.008	20	glycerate kinase	0321eb6f95e6f4c2b5f66d637daf42ad
0.008	20	16S ribosomal RNA methyltransferase RsmE	003c101edf5f484b1af49051e35e7cde
0.008	20	methylglyoxal synthase	01ebe132424bb99695c3e198c01173e6
0.008	20	putative thiamine biosynthesis-related protein	0261f3ed7f56f005961eb9f028750b60
0.008	20	outer membrane assembly comple	02c895c303f51438b590287b1cdb4d3e
0.0076	19	CRISPR-associated protei	0109ccfdc25f519244d8bf1303a8f51f
0.0076	19	peptidyl-prolyl cis-trans isomeras	005b04a341243c7b9ab8708ec0ea5c7c
0.0076	19	dihydropyrimidinase	01510da00b84ccb7c97361ddc5f2e8c1
0.0076	19	melibiose:sodium symporter	0245c7878fddc96168accdfc507b58fb
0.0076	19	alanyl-tRNA synthetase	00197c26f1bad0853bf87ef02fbad16c
0.0076	19	putative dihydroneopterin aldolase	005452cad1982d0e9fdf74786087bcad
0.0076	19	cobalt transporter ATP-binding subunit	0040e92395052d552cf84ce6f49ba67c
0.0076	19	ribosomal protein L5	005df817c8e1a7927e25e453fda753bc
0.0076	19	cytochrome c-type biogenesis protein CcmF	003d462970571195d89227a7b1c0ad2a
0.0076	19	sodium-dependent phosphate transporter	0257de9986c61e8b96d7bad8fe3dcf3b
0.0076	19	probable phosphomethylpyrimidine kinase	015c9638c89106db4617e27fb526c091
0.0076	19	2-keto-3-deoxygluconate kinase	011e6d07221e9d478b403aaeec3b9bf5
0.0076	19	radical SAM domain-containing protein	0119b76c8ff04065281deef9d70078fe
0.0072	18	glyceraldehyde-3-phosphate dehydrogenase	0048484cc947824ab2bf7265b60dd1e0
0.0072	18	integrase	007592c201db4ac6efe90ab8f7596fc2
0.0072	18	inositol monophosphatase	0035d6c7a836ac1170b31effb1c50502
0.0072	18	stage 0 sporulation protein J	013166d39fdf6f795dadf0f7be666322
0.0072	18	C4-dicarboxylate transporter	0190cae6e1cfc51e4568b44aabd16718
0.0072	18	ABC transporter	019cdd2be65e10366f64efb211b8560a
0.0072	18	AraC family transcriptional regulator	00cbcd7d71a97a9210f116b2fd77066c
0.0072	18	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	00527964405ccf2d28718f15f0d3dcc0
0.0072	18	30S ribosomal protein S3	00d3d6a4673ef71000aea7d8a5d09522
0.0072	18	DNA polymerase III DnaE	013333bc7c833854b89f309c035b5e62
0.0072	18	adenylate kinase	00638c617cdf0e1a5d59d39b2c52d00b
0.0072	18	phosphoglycerate mutase family protein	030668e2d5257ee3dd6ce304d85522b0
0.0072	18	serine/threonine protein phosphatas	021dd01b4ec0897568b4366d5270cb5c
0.0072	18	NAD-dependent epimerase	00c07838ad7feddb870906a6ff057180
0.0072	18	heavy metal translocating P-type ATPase	00728659961bc57a7b6e51d5cdbdf659
0.0072	18	aluminum resistance protein	024670f8b0a3ec5a429afd70138bf2c1
0.0072	18	PilT domain-containing protein	0047ae7a63b8b0dac4f8285d5a72e8ce
0.0072	18	pyrroline-5-carboxylate reductase	018f039a69a657d02e7eb39eeceec2e4
0.0072	18	beta-hexosaminidase	007274267d0f93087c767149b93a869c
0.0068	17	sugar isomerase (SIS)	02bfe7cd37a00485c978432b51d8bcd3
0.0068	17	FAD-dependent thymidylate synthase	025ef029d12eab19653c448b69b8f3a9
0.0068	17	putative ABC transporte	0014c17fcba34ffecc4191c48080ae5b
0.0068	17	dihydropteroate synthase	001e90a8f28205f101ad9924388defbc
0.0068	17	hypoxanthine-guanine phosphoribosyltransferase	02c7f396d5f0d48356f28547715c8c99
0.0068	17	recA protein	00985177f0eb8623974a2342a267d887
0.0068	17	GDSL family lipase	0060aa7d8fe76762306dde1307412559
0.0068	17	aerobic C4-dicarboxylate transport protein	02a3cec0a0a383dee56851d70f1b8dc6
0.0068	17	thiamine-phosphate diphosphorylase	001c3ace7ef7ae170bc9965a33f37f66
0.0068	17	protein of unknown function DUF214	01ddcb19a1556c5357963090ee04180a
0.0068	17	Ethanolamine utilisation protein EutH	0100a8785fb7c4bc52494aee2021712a
0.0068	17	GTP-binding protein TypA	00038351497f9aae568d0e3c87cb80df
0.0068	17	translation initiation factor IF-1	037e7eb21bcc8f25f012a5f7bc58312b
0.0068	17	PSP1 domain protein	02da91eaf203f2ebc35bc19739224e7d
0.0068	17	putative PEGA domain protein	00cadb1720801878948b84fd7aecc801
0.0068	17	S4 regio	033d2b1cbcff3b20a7063474fe2b9b3d
0.0068	17	glycerol-3-phosphate dehydrogenase [NAD(P)+]	00f6210dfe852c7b465c60ed69d7ae06
0.0068	17	Cobyrinic acid ac-diamide synthase	010785cb20114e859cf3c69758e1e0bd
0.0068	17	putative lipoprotein	002809e03b1ca29e8165ef48ecf4185d
0.0068	17	DNA mismatch repair protein MutS domain-containing protein	017883f113b4dd6d8d649008d414396f
0.0064	16	transcription termination factor Rho	0092ce083b4ed2c880e549f9c63aad3d
0.0064	16	putative threonyl-tRNA synthetase/uridine kinase	03449b03151b5e91fa1f94f52b5b068a
0.0064	16	thiol peroxidase	01b386065c3f2d61e5463a7369bbc6c7
0.0064	16	transcriptional regulator NrdR	0093ae2869ba515524fef2abfa358abd
0.0064	16	carbamoyl phosphate synthase large subunit	002469dd29b84ba2346a9ffd78a9f003
0.0064	16	extracellular solute-binding protein family 3	005b1643a96ed3b84123e95476f12adf
0.0064	16	Glycosyl hydrolas	0042a753d292706035812899433fc69c
0.0064	16	chromosomal replication initiator protein dnaa	0143e76c0a36a2ff3a48f44ee6647d26
0.0064	16	uridylate kinase	0031a24625f044dc3224f80429cb486b
0.0064	16	50S ribosomal protein L32	0203da650103a5cc09f443cca3eb83ca
0.0064	16	Ser/Thr protein phosphatase family protein	00f2cfa42690a295dc7c3200b13783d1
0.0064	16	N-6 DNA methylase	0241ae6c206220512d5832e9d8cb355f
0.0064	16	Appr-1-p processing domain-containing protein	01e6c54da222841280c73886f2fde4b7
0.0064	16	RNA polymerase sigma factor RpoD	01efb83e6ac4c966bd7bb5930eb155ad
0.0064	16	leucine--tRNA ligase	022430b65fde566d81688cf68d4d183e
0.0064	16	putative chromosome partitioning protein	0334ce236b07fc1daef51dc69ed487ac
0.0064	16	NUDIX hydrolase	004eadf116b7dd284b7ebaafe6936854
0.0064	16	30S ribosomal protein S18	023b1a55ff5c93d4520e1ded9016be0c
0.0064	16	polyphosphate kinase	0056a88dc99219b16e89a1185a5cf930
0.0064	16	phosphate butyryltransferase	002116b59afe304114be9472be4af740
0.0064	16	ferric uptake regulato	0126e0e7e8c791d1efb66d2ddfcc2a78
0.0064	16	4-alpha-glucanotransferase	012beee97b8ebec98a4fa8e2c544a4a5
0.0064	16	histidine triad nucleotide-binding protein (HIT)	021b5ce92b2e314e0354416513777802
0.0064	16	glucosamine--fructose-6-phosphate aminotransferase	001c249822055dd6fc502de7fcbd9e55
0.0064	16	peptidase family protein	00a13e6eb006cf96978dbea490b78ebf
0.006	15	indolepyruvate ferredoxin oxidoreductase	0038502af02a5a66f0570e6a6730451c
0.006	15	tellurium resistance protein TerD	014dbbd9c85b4a79d3893e2e0949abc8
0.006	15	5-keto-4-deoxyuronate isomerase	0006ae9ac4b7ac838a668835d2466134
0.006	15	ribosomal large subunit pseudouridine synthase A	0138b336f3546643581014ab43096312
0.006	15	putative mobilization protein	01458fd6c0417f6ecf98637ff56f11ea
0.006	15	DEAD_2 domain protein	009f991d4ddda6a9a7d7e00ab8f9d439
0.006	15	germination protease	025c6465a469a0a6d7f7c4bf55cb1c0e
0.006	15	exopolysaccharide tyrosine-protein kinase	02bf28253fe985ba22c84be829c28c49
0.006	15	macrolide-specific ABC-type efflux carrier	005d725e3390741efd91a2c01b9ee5b2
0.006	15	taurine ABC transporte	01434f0ce3da6da1398ea911d4f6d25c
0.006	15	outer membrane protein OmpA family protein	0322cadb0f5f564194bb97caa99f0d70
0.006	15	oxidoreductase	00c8b5b0c31fa892f9d75566270cf4d1
0.006	15	helicase domain-containing protein	01a11dce9c662e4d171a9807fb862f63
0.006	15	D-alanine--poly(phosphoribitol) ligase subunit 1	02d5a1957610608e3575c95f0eaa23b2
0.006	15	outer membrane protein	028e35189b93a8c98fc17bf88fe70d4d
0.0056	14	mannose-specific PTS family enzyme IIAB component	007e8e0e5e86e96acf78fb617cb44eb3
0.0056	14	signal recognition particle protein subuni	006ecceed926045bbb8f71e0a9b627cb
0.0056	14	nucleoside diphosphate kinase	037dbc8aa41893409c35b797be5ec35a
0.0056	14	DNA-binding protein HU	009eeba45d3af2aacb0fabb39cb57aff
0.0056	14	SPFH domain / Band 7 family protein	00e8fa82fe7b7e48db2f9874580c2797
0.0056	14	GDSL-like protein	019fac791cf9a406a2becea4c16986d8
0.0056	14	thiamine pyrophosphate binding domain-containing protein	012e12d2ba0df71aadce5f4e3657e245
